風呂	ふろ|ぶろ	furo|buro
変貌	へんぼう	hennbou
痩せる	やせる	yaseru
斬る	きる|ぎる	kiru|giru
賭博	とばく	tobaku
危惧	きぐ	kigu
堆積	たいせき	taiseki
要塞	ようさい	yousai
拭き	ふき	fuki
翻弄	ほんろう	honnrou
物凄い	ものすごい	monosugoi
宛て	あて	ate
蜂蜜	はちみつ	hachimitsu
脊髄	せきずい	sekizui
罵倒	ばとう	batou
傲慢	ごうまん	goumann
失踪	しっそう	shissou
隠蔽	いんぺい	innpei
振袖	ふりそで	furisode
勃起	ぼっき	bokki
諦める	あきらめる	akirameru
梗塞	こうそく	kousoku
唾液	だえき	daeki
瑠璃	るり	ruri
乞食	こじき|こつじき	kojiki|kotsujiki
勃発	ぼっぱつ	boppatsu
痕跡	こんせき	konnseki
緻密	ちみつ	chimitsu
親睦	しんぼく	shinnboku
半袖	はんそで	hannsode
風呂敷	ふろしき|ぶろしき	furoshiki|buroshiki
湧水	ゆうすい	yuusui
風呂場	ふろば	furoba
脇役	わきやく	wakiyaku
鍛冶	たんや|かじ	tannya|kaji
長袖	ながそで|ちょうしゅう	nagasode|choushuu
滑稽	こっけい	kokkei
串焼き	くしやき	kushiyaki
明瞭	めいりょう	meiryou
いつ頃	いつごろ	itsugoro
亀裂	きれつ	kiretsu
宛名	あてな	atena
氾濫	はんらん	hannrann
参詣	さんけい	sannkei
湧く	わく	waku
沙汰	さた|ざた	sata|zata
眉毛	まゆげ	mayuge
憧れる	あこがれる	akogareru
美貌	びぼう	bibou
訃報	ふほう	fuhou
麺類	めんるい	mennrui
鍵盤	けんばん	kennbann
潰れる	つぶれる	tsubureru
狙撃	そげき	sogeki
払拭	ふっしょく	fusshoku
臆病	おくびょう	okubyou
煎餅	せんべい	sennbei
潰瘍	かいよう	kaiyou
萎縮	いしゅく	ishuku
全貌	ぜんぼう	zennbou
裾野	すその	susono
串揚げ	くしあげ	kushiage
蹴る	ける	keru
眉間	みけん	mikenn
冷麺	れいめん	reimenn
両脇	りょうわき	ryouwaki
整頓	せいとん	seitonn
痩身	そうしん	soushinn
采配	さいはい	saihai
煎茶	せんちゃ	senncha
麻呂	まろ	maro
製麺	せいめん	seimenn
餅つき	もちつき	mochitsuki
軽蔑	けいべつ	keibetsu
狙える	ねらえる	neraeru
塩尻	しおじり	shiojiri
薬膳	やくぜん	yakuzenn
比喩	ひゆ	hiyu
風貌	ふうぼう	fuubou
宛先	あてさき	atesaki
錦糸	きんし	kinnshi
恣意	しい	shii
謎解き	なぞとき	nazotoki
叱り	しかり	shikari
乞う	こう	kou
拭く	ふく	fuku
抱き枕	だきまくら	dakimakura
灯籠	とうろう|どうろう	tourou|dourou
脊椎	せきつい	sekitsui
雑巾	ぞうきん	zoukinn
巾着	きんちゃく|ぎんちゃく	kinnchaku|ginnchaku
残骸	ざんがい	zanngai
捻挫	ねんざ	nennza
死骸	しがい	shigai
もの凄い	ものすごい	monosugoi
中韓	ちゅうかん	chuukann
貪欲	とんよく|どんよく	tonnyoku|donnyoku
呪縛	じゅばく	jubaku
賭ける	かける|がける	kakeru|gakeru
乳腺	にゅうせん	nyuusenn
喝采	かっさい	kassai
嘲笑	ちょうしょう	choushou
割り箸	わりばし	waribashi
風呂上り	ふろあがり	furoagari
断崖	だんがい	danngai
嗅覚	きゅうかく	kyuukaku
中頃	なかごろ	nakagoro
呪術	じゅじゅつ	jujutsu
萎える	なえる|しなえる	naeru|shinaeru
遡る	さかのぼる	sakanoboru
苛立ち	いらだち	iradachi
素麺	そうめん	soumenn
鬱陶しい	うっとうしい	uttoushii
戦慄	せんりつ	sennritsu
湧き水	わきみず	wakimizu
急須	きゅうす	kyuusu
哺乳	ほにゅう	honyuu
二股	ふたまた	futamata
鉄拳	てっけん	tekkenn
象牙	ぞうげ	zouge
枕元	まくらもと	makuramoto
捻出	ねんしゅつ	nennshutsu
餌食	えじき	ejiki
斑点	はんてん	hanntenn
叱る	しかる	shikaru
産駒	さんく	sannku
筋腫	きんしゅ	kinnshu
塩釜	しおがま	shiogama
唄う	うたう|うとう	utau|utou
鬱病	うつびょう	utsubyou
崖っぷち	がけっぷち	gakeppuchi
妖艶	ようえん	youenn
脱臼	だっきゅう	dakkyuu
怨念	おんねん	onnnenn
咽頭	いんとう	inntou
鍛冶屋	かじや	kajiya
巣窟	そうくつ	soukutsu
苛め	いじめ|さいなめ	ijime|sainame
罵声	ばせい	basei
腰椎	ようつい	youtsui
湧出	わきで|ゆうしゅつ	wakide|yuushutsu
沙羅	さら|しゃら	sara|shara
怨霊	おんりょう	onnryou
捕捉	ほそく	hosoku
釜飯	かまめし	kamameshi
賄賂	わいろ	wairo
狙い目	ねらいめ	neraime
頭巾	ずきん|ときん	zukinn|tokinn
浮腫	ふしゅ	fushu
留袖	とめそで	tomesode
韓日	かんにち	kannnichi
妖魔	ようま	youma
拳法	けんぽう	kennpou
石臼	いしうす	ishiusu
韓国人	かんこくじん	kannkokujinn
車椅子	くるまいす	kurumaisu
韓国語	かんこくご	kannkokugo
牛丼	ぎゅうどん	gyuudonn
前立腺	ぜんりつせん	zennritsusenn
甲状腺	こうじょうせん	koujousenn
股関節	こかんせつ	kokannsetsu
脳梗塞	のうこうそく	noukousoku
処方箋	しょほうせん	shohousenn
哺乳類	ほにゅうるい	honyuurui
顎関節	がくかんせつ	gakukannsetsu
土鍋	どなべ	donabe
虹色	にじいろ	nijiiro
爽快感	そうかいかん	soukaikann
椎間板	ついかんばん	tsuikannbann
子守唄	こもりうた	komoriuta
太極拳	たいきょくけん	taikyokukenn
稽古場	けいこじょう	keikojou
鍋料理	なべりょうり	naberyouri
天丼	てんどん	tenndonn
恣意的	しいてき	shiiteki
羞恥心	しゅうちしん	shuuchishinn
若旦那	わかだんな	wakadannna
頭蓋骨	ずがいこつ	zugaikotsu
不明瞭	ふめいりょう	fumeiryou
覚醒剤	かくせいざい	kakuseizai
昼頃	ひるごろ	hirugoro
腎不全	じんふぜん	jinnfuzenn
親子丼	おやこどん	oyakodonn
