良い	いい|よい	ii|yoi
英語	えいご	eigo
位置	いち	ichi
労働	ろうどう	roudou
生産	せいさん	seisann
名無し	ななし	nanashi
に関して	にかんして	nikannshite
徒歩	とほ	toho
会議	かいぎ	kaigi
特集	とくしゅう	tokushuu
便利	べんり	bennri
試験	しけん	shikenn
覚える	おぼえる	oboeru
記録	きろく	kiroku
成長	せいちょう	seityou
戦争	せんそう	sennsou
当然	とうぜん	touzenn
以内	いない	inai
残念	ざんねん	zannnenn
加える	くわえる	kuwaeru
付く	つく|づく	tsuku|duku
残す	のこす	nokosu
昨年	さくねん	sakunenn
満足	まんぞく	mannzoku
産業	さんぎょう	sanngyou
野菜	やさい	yasai
議員	ぎいん	giinn
小説	しょうせつ	shousetsu
生徒	せいと	seito
選挙	せんきょ	sennkyo
最も	もっとも|いとも	mottomo|itomo
完成	かんせい	kannsei
不安	ふあん	fuann
願う	ねがう|ねごう	negau|negou
機会	きかい	kikai
信じる	しんじる	shinnjiru
低い	ひくい|ひきい	hikui|hikii
投票	とうひょう	touhyou
各種	かくしゅ	kakushu
全然	ぜんぜん	zennzenn
働く	はたらく|ばたらく	hataraku|bataraku
笑う	わらう|わろう	warau|warou
送信	そうしん	soushinn
建物	たてもの|たてもん	tatemono|tatemonn
不思議	ふしぎ	fushigi
協会	きょうかい	kyoukai
周り	まわり	mawari
課題	かだい	kadai
目標	もくひょう	mokuhyou
受付	うけつけ	uketsuke
例えば	たとえば	tatoeba
伝え	つたえ|づたえ	tsutae|dutae
飛ぶ	とぶ	tobu
加工	かこう	kakou
一戸建て	いっこだて	ikkodate
連れ	つれ|づれ	tsure|dure
改正	かいせい	kaisei
連続	れんぞく	rennzoku
感覚	かんかく	kannkaku
焼き	やき|たき	yaki|taki
努力	どりょく	doryoku
失敗	しっぱい	shippai
試し	ためし|だめし	tameshi|dameshi
笑顔	えがお	egao
住民	じゅうみん	juuminn
卒業	そつぎょう	sotsugyou
印刷	いんさつ	innsatsu
風景	ふうけい	fuukei
機械	きかい	kikai
配信	はいしん	haishinn
選び	えらび	erabi
借りる	かりる|がりる	kariru|gariru
参照	さんしょう	sannshou
以来	いらい	irai
材料	ざいりょう	zairyou
と共に	とともに	totomoni
別に	べつに	betsuni
失う	うしなう|うしのう|のう	ushinau|ushinou|nou
残り	のこり	nokori
不明	ふめい	fumei
受験	じゅけん	jukenn
機器	きき	kiki
老人	ろうじん	roujinn
ご飯	ごはん	gohann
付近	ふきん	fukinn
固定	こてい	kotei
戦い	たたかい|おののい|そよい	tatakai|ononoi|soyoi
無事	ぶじ	buji
熱い	あつい|あちい	atsui|achii
児童	じどう	jidou
大量	たいりょう	tairyou
建てる	たてる|だてる	tateru|dateru
協議	きょうぎ	kyougi
要望	ようぼう	youbou
関わる	かかわる	kakawaru
形成	けいせい	keisei
不足	ふそく|ぶそく	fusoku|busoku
静か	しずか	shizuka
好み	このみ|ごのみ	konomi|gonomi
初期	しょき	shoki
自信	じしん	jishinn
取材	しゅざい	shuzai
伝わる	つたわる	tsutawaru
人材	じんざい	jinnzai
約束	やくそく	yakusoku
共通	きょうつう	kyoutsuu
手続き	てつづき	tetsuduki
要求	ようきゅう	youkyuu
積極	せっきょく	sekkyoku
散歩	さんぽ	sannpo
手数料	てすうりょう	tesuuryou
泣く	なく	naku
各地	かくち	kakuchi
成分	せいぶん	seibunn
事例	じれい	jirei
初心者	しょしんしゃ	shoshinnsha
辺り	あたり	atari
返信	へんしん	hennshinn
笑い	わらい	warai
成果	せいか	seika
育成	いくせい	ikusei
働き	はたらき|ばたらき	hataraki|bataraki
挙げる	あげる	ageru
観察	かんさつ	kannsatsu
必死	ひっし	hisshi
初め	はじめ|そめ|ぞめ	hajime|some|zome
書類	しょるい	shorui
伝説	でんせつ	dennsetsu
訓練	くんれん	kunnrenn
戦う	たたかう|たたこう	tatakau|tatakou
望む	のぞむ	nozomu
民主	みんしゅ	minnshu
単位	たんい	tanni
当初	とうしょ	tousho
関心	かんしん	kannshinn
改めて	あらためて	aratamete
失礼	しつれい	shitsurei
民間	みんかん	minnkann
気付く	きづく	kiduku
発信	はっしん	hasshinn
民族	みんぞく	minnzoku
共有	きょうゆう	kyouyuu
別れ	わかれ	wakare
都道府県	とどうふけん	todoufukenn
愛しい	いとしい	itoshii
主要	しゅよう	shuyou
相変わらず	あいかわらず	aikawarazu
低下	ていか	teika
最低	さいてい	saitei
出席	しゅっせき	shusseki
差別	さべつ|しゃべつ	sabetsu|shabetsu
面積	めんせき	mennseki
競争	きょうそう	kyousou
特典	とくてん	tokutenn
結ぶ	むすぶ	musubu
食材	しょくざい	shokuzai
有料	ゆうりょう	yuuryou
配置	はいち	haichi
栄養	えいよう	eiyou
信号	しんごう	shinngou
冷たい	つめたい|つべたい	tsumetai|tsubetai
苦労	くろう|ぐろう	kurou|gurou
果たす	はたす	hatasu
楽器	がっき	gakki
景色	けしき|げしき	keshiki|geshiki
不要	ふよう	fuyou
作戦	さくせん	sakusenn
土産	みやげ|どさん	miyage|dosann
分類	ぶんるい	bunnrui
週末	しゅうまつ	shuumatsu
工夫	くふう|こうふ	kufuu|koufu
手法	しゅほう	shuhou
放置	ほうち	houchi
信用	しんよう	shinnyou
最強	さいきょう	saikyou
出産	しゅっさん	shussann
お伝え	おつたえ	otsutae
議会	ぎかい	gikai
競馬	けいば	keiba
人達	ひとたち	hitotachi
命令	めいれい	meirei
戦後	せんご	senngo
単に	たんに	tannni
努める	つとめる	tsutomeru
無くなる	なくなる	nakunaru
辞める	やめる	yameru
反省	はんせい	hannsei
入札	にゅうさつ	nyuusatsu
伝える	つたえる	tsutaeru
焼く	やく|たく	yaku|taku
加入	かにゅう	kanyuu
折る	おる	oru
受信	じゅしん	jushinn
育児	いくじ	ikuji
飛ばす	とばす	tobasu
包む	つつむ|くるむ	tsutsumu|kurumu
泣き	なき	naki
上位	じょうい	joui
倉庫	そうこ	souko
交付	こうふ	koufu
受け付け	うけつけ	uketsuke
引き続き	ひきつづき	hikitsuduki
部隊	ぶたい	butai
飛行機	ひこうき	hikouki
変動	へんどう	henndou
付ける	つける|づける	tsukeru|dukeru
不良	ふりょう	furyou
最悪	さいあく	saiaku
人類	じんるい	jinnrui
辞書	じしょ	jisho
苦笑	くしょう	kushou
不満	ふまん	fumann
参る	まいる	mairu
機種	きしゅ	kishu
給料	きゅうりょう	kyuuryou
連中	れんちゅう|れんじゅう	renntyuu|rennjuu
選べる	えらべる	eraberu
自治体	じちたい	jichitai
未満	みまん	mimann
対戦	たいせん	taisenn
景気	けいき|げいき	keiki|geiki
積む	つむ|づむ	tsumu|dumu
有機	ゆうき	yuuki
発達	はったつ	hattatsu
県民	けんみん	kennminn
軍事	ぐんじ	gunnji
連休	れんきゅう	rennkyuu
極めて	きわめて	kiwamete
当選	とうせん	tousenn
満たす	みたす	mitasu
自動的	じどうてき	jidouteki
自治	じち	jichi
以後	いご	igo
共に	ともに	tomoni
取り付け	とりつけ	toritsuke
辞典	じてん	jitenn
付き合い	つきあい|づきあい	tsukiai|dukiai
治る	なおる|おさまる	naoru|osamaru
不正	ふせい	fusei
単なる	たんなる	tannnaru
連結	れんけつ	rennketsu
焼肉	やきにく	yakiniku
付き合う	つきあう|つきおう	tsukiau|tsukiou
合成	ごうせい	gousei
成る	なる	naru
金利	きんり	kinnri
相続	そうぞく	souzoku
交差点	こうさてん	kousatenn
区別	くべつ	kubetsu
単語	たんご	tanngo
配達	はいたつ	haitatsu
順番	じゅんばん	junnbann
仲良く	なかよく	nakayoku
改良	かいりょう	kairyou
見積もり	みつもり	mitsumori
初回	しょかい	shokai
各国	かくこく|かっこく	kakukoku|kakkoku
借金	しゃっきん	shakkinn
法案	ほうあん	houann
入浴	にゅうよく	nyuuyoku
良好	りょうこう	ryoukou
関節	かんせつ	kannsetsu
予選	よせん	yosenn
初日	しょにち|はつひ|はつび	shonichi|hatsuhi|hatsubi
愛する	あいする	aisuru
原料	げんりょう	gennryou
順位	じゅんい	junni
司法	しほう	shihou
無線	むせん	musenn
氏名	しめい	shimei
観点	かんてん	kanntenn
品種	ひんしゅ	hinnshu
録音	ろくおん	rokuonn
加わる	くわわる	kuwawaru
追求	ついきゅう|おいもとめ	tsuikyuu|oimotome
国産	こくさん	kokusann
入試	にゅうし	nyuushi
試み	こころみ	kokoromi
世帯	しょたい|せたい|じょたい	shotai|setai|jotai
特急	とっきゅう	tokkyuu
議長	ぎちょう	gityou
愛す	あいす	aisu
お笑い	おわらい	owarai
飲料	いんりょう|のみりょう	innryou|nomiryou
課長	かちょう	katyou
年末	ねんまつ	nennmatsu
給付	きゅうふ	kyuufu
達す	たっす	tassu
法令	ほうれい	hourei
商標	しょうひょう	shouhyou
教材	きょうざい	kyouzai
有無	うむ	umu
考察	こうさつ	kousatsu
浴びる	あびる	abiru
落札	らくさつ	rakusatsu
手続	てつづき	tetsuduki
祝日	しゅくじつ	shukujitsu
産地	さんち	sannchi
お祝い	おいわい	oiwai
健全	けんぜん	kennzenn
月末	げつまつ|つきずえ	getsumatsu|tsukizue
冷静	れいせい	reisei
自覚	じかく	jikaku
長官	ちょうかん	tyoukann
信者	しんじゃ	shinnja
観客	かんきゃく	kannkyaku
英会話	えいかいわ	eikaiwa
笑える	わらえる	waraeru
戦国	せんごく	senngoku
業種	ぎょうしゅ	gyoushu
満ちる	みちる	michiru
見積り	みつもり	mitsumori
大戦	たいせん	taisenn
観戦	かんせん	kannsenn
景観	けいかん	keikann
重量	じゅうりょう	juuryou
不幸	ふこう	fukou
固い	かたい	katai
持参	じさん	jisann
天候	てんこう	tennkou
順調	じゅんちょう	junntyou
外観	がいかん	gaikann
理念	りねん	rinenn
録画	ろくが	rokuga
生成	せいせい	seisei
食料	しょくりょう	shokuryou
器具	きぐ	kigu
手順	てじゅん	tejunn
お手伝い	おてつだい	otetsudai
昨夜	さくや|ゆうべ|ゆんべ	sakuya|yuube|yunnbe
飛行	ひこう	hikou
変身	へんしん	hennshinn
送付	そうふ	soufu
教養	きょうよう	kyouyou
祝い	いわい|ほがい|ほい	iwai|hogai|hoi
右側	みぎがわ|うそく	migigawa|usoku
究極	きゅうきょく	kyuukyoku
地位	ちい	chii
結成	けっせい	kessei
争い	あらそい|あらがい	arasoi|aragai
兵器	へいき	heiki
果たして	はたして	hatashite
要る	いる	iru
持続	じぞく	jizoku
内側	うちがわ|ないそく	uchigawa|naisoku
養成	ようせい	yousei
合唱	がっしょう	gasshou
芸人	げいにん	geininn
飛び出す	とびだす	tobidasu
海軍	かいぐん	kaigunn
調達	ちょうたつ	tyoutatsu
特産	とくさん	tokusann
手伝い	てつだい	tetsudai
左側	ひだりがわ|さそく	hidarigawa|sasoku
各社	かくしゃ	kakusha
側面	そくめん	sokumenn
古典	こてん	kotenn
公的	こうてき	kouteki
工芸	こうげい	kougei
観る	みる	miru
笑み	えみ	emi
加速	かそく	kasoku
給食	きゅうしょく	kyuushoku
気候	きこう	kikou
選定	せんてい	senntei
例える	たとえる	tatoeru
最中	さいちゅう|もなか|さなか	saityuu|monaka|sanaka
要するに	ようするに	yousuruni
日付	ひづけ	hiduke
水産	すいさん	suisann
園芸	えんげい	enngei
浴衣	ゆかた	yukata
地帯	ちたい	chitai
協定	きょうてい	kyoutei
不具合	ふぐあい	fuguai
固め	かため|がため	katame|gatame
通貨	つうか	tsuuka
司会	しかい	shikai
残業	ざんぎょう	zanngyou
熱心	ねっしん	nesshinn
必ずしも	かならずしも	kanarazushimo
標高	ひょうこう	hyoukou
未だに	いまだに	imadani
散る	ちる|あかる	chiru|akaru
満開	まんかい	mannkai
未だ	いまだ|まだ	imada|mada
一種	いっしゅ	isshu
血管	けっかん	kekkann
照らす	てらす	terasu
治す	なおす|しろす	naosu|shirosu
参戦	さんせん	sannsenn
調節	ちょうせつ	tyousetsu
浅い	あさい	asai
利く	きく	kiku
共感	きょうかん	kyoukann
要する	ようする	yousuru
貨物	かもつ|かぶつ	kamotsu|kabutsu
固まる	かたまる	katamaru
節約	せつやく	setsuyaku
数量	すうりょう	suuryou
果て	はて	hate
好む	このむ	konomu
指標	しひょう	shihyou
隊長	たいちょう	taityou
不安定	ふあんてい	fuanntei
小児	しょうに	shouni
客観	きゃっかん|かっかん	kyakkann|kakkann
結合	けつごう	ketsugou
お好み焼き	おこのみやき	okonomiyaki
決議	けつぎ	ketsugi
浴場	よくじょう	yokujou
選考	せんこう	sennkou
漁業	ぎょぎょう	gyogyou
目覚め	めざめ	mezame
卒業生	そつぎょうせい	sotsugyousei
事典	じてん	jitenn
果実	かじつ	kajitsu
覚める	さめる|ざめる	sameru|zameru
関数	かんすう	kannsuu
成り立つ	なりたつ	naritatsu
変形	へんけい	hennkei
例外	れいがい	reigai
民家	みんか	minnka
冷え	ひえ|びえ|つめてえ|つべてえ	hie|bie|tsumetee|tsubetee
手伝う	てつだう|てつどう	tetsudau|tetsudou
年末年始	ねんまつねんし	nennmatsunennshi
果物	くだもの	kudamono
協同	きょうどう	kyoudou
特有	とくゆう	tokuyuu
建つ	たつ|だつ	tatsu|datsu
工法	こうほう	kouhou
唱える	となえる	tonaeru
分散	ぶんさん	bunnsann
愛用	あいよう	aiyou
加算	かさん	kasann
必見	ひっけん	hikkenn
法的	ほうてき	houteki
関わり	かかわり	kakawari
小児科	しょうにか	shounika
差し	さし|ざし	sashi|zashi
冷やす	ひやす	hiyasu
機体	きたい	kitai
例年	れいねん	reinenn
合戦	かっせん|がっせん	kassenn|gassenn
近辺	きんぺん	kinnpenn
加熱	かねつ	kanetsu
軽量	けいりょう	keiryou
連動	れんどう	renndou
説く	とく	toku
戦場	せんじょう|いくさば	sennjou|ikusaba
食器	しょっき	shokki
付加	ふか	fuka
動機	どうき	douki
部位	ぶい	bui
失業	しつぎょう	shitsugyou
結び	むすび|けつび	musubi|ketsubi
待機	たいき	taiki
上陸	じょうりく	jouriku
群れ	むれ|むらがれ	mure|muragare
案外	あんがい	anngai
見積	みつもり|みつも	mitsumori|mitsumo
改定	かいてい	kaitei
望み	のぞみ	nozomi
戦力	せんりょく	sennryoku
満点	まんてん	manntenn
副作用	ふくさよう	fukusayou
人参	にんじん	ninnjinn
完結	かんけつ	kannketsu
戦前	せんぜん	sennzenn
指輪	ゆびわ	yubiwa
一連	いちれん	ichirenn
公民館	こうみんかん	kouminnkann
始末	しまつ	shimatsu
特例	とくれい	tokurei
機動	きどう	kidou
末期	まっき|まつご	makki|matsugo
不便	ふべん	fubenn
連想	れんそう	rennsou
隊員	たいいん	taiinn
味覚	みかく	mikaku
選出	せんしゅつ	sennshutsu
選び方	えらびかた	erabikata
主観	しゅかん	shukann
有害	ゆうがい	yuugai
完売	かんばい	kannbai
欠け	かけ	kake
不法	ふほう	fuhou
原材料	げんざいりょう	gennzairyou
包丁	ほうちょう|ぼうちょう	houtyou|boutyou
連発	れんぱつ	rennpatsu
各自	かくじ	kakuji
海水浴	かいすいよく	kaisuiyoku
受験生	じゅけんせい	jukennsei
好調	こうちょう	koutyou
人種	じんしゅ	jinnshu
味付け	あじつけ	ajitsuke
泣ける	なける	nakeru
発覚	はっかく	hakkaku
議案	ぎあん	giann
陸軍	りくぐん	rikugunn
特色	とくしょく	tokushoku
愛犬	あいけん	aikenn
昨今	さっこん	sakkonn
一周	いっしゅう	isshuu
対照	たいしょう	taishou
人民	じんみん	jinnminn
産む	うむ	umu
伝達	でんたつ	denntatsu
市議会	しぎかい	shigikai
百貨店	ひゃっかてん	hyakkatenn
焼け	やけ	yake
必然	ひつぜん	hitsuzenn
日焼け	ひやけ	hiyake
に関し	にかんし	nikannshi
不当	ふとう	futou
省エネ	しょうえね	shouene
特長	とくちょう	tokutyou
改め	あらため	aratame
軍隊	ぐんたい	gunntai
参画	さんかく	sannkaku
種別	しゅべつ	shubetsu
右折	うせつ	usetsu
敗れる	やぶれる	yabureru
一望	いちぼう	ichibou
参入	さんにゅう	sannnyuu
望ましい	のぞましい	nozomashii
便り	たより|だより	tayori|dayori
子孫	しそん	shisonn
失点	しってん	shittenn
直径	ちょっけい	tyokkei
改札	かいさつ	kaisatsu
祝福	しゅくふく	shukufuku
所要	しょよう	shoyou
式典	しきてん	shikitenn
要は	ようは	youha
周波数	しゅうはすう	shuuhasuu
位置づけ	いちづけ	ichiduke
商法	しょうほう	shouhou
帰省	きせい	kisei
生き残る	いきのこる	ikinokoru
定例	ていれい	teirei
単身	たんしん	tannshinn
英数字	えいすうじ	eisuuji
争う	あらそう|あらがう|あらごう	arasou|aragau|aragou
左折	させつ	sasetsu
浴室	よくしつ	yokushitsu
植民	しょくみん	shokuminn
極上	ごくじょう	gokujou
積もる	つもる	tsumoru
部材	ぶざい	buzai
今季	こんき	konnki
民事	みんじ	minnji
欠点	けってん	kettenn
農民	のうみん	nouminn
時折	ときおり	tokiori
良品	りょうひん	ryouhinn
好ましい	このましい	konomashii
受給	じゅきゅう	jukyuu
富む	とむ	tomu
機材	きざい	kizai
冷める	さめる|ざめる	sameru|zameru
に関しまして	にかんしまして	nikannshimashite
未定	みてい	mitei
日差し	ひざし	hizashi
固有	こゆう	koyuu
焼き鳥	やきとり	yakitori
連勝	れんしょう	rennshou
戦隊	せんたい	senntai
出願	しゅつがん	shutsugann
観念	かんねん	kannnenn
題材	だいざい	daizai
不自由	ふじゆう	fujiyuu
省令	しょうれい	shourei
特選	とくせん	tokusenn
不利	ふり	furi
仲良し	なかよし	nakayoshi
帯びる	おびる	obiru
市街	しがい	shigai
不問	ふもん	fumonn
差し上げる	さしあげる	sashiageru
待望	たいぼう	taibou
養う	やしなう|やしのう	yashinau|yashinou
包み	つつみ|くるみ|づつみ|ぐるみ|ずつみ	tsutsumi|kurumi|dutsumi|gurumi|zutsumi
軍人	ぐんじん	gunnjinn
会席	かいせき	kaiseki
ご苦労	ごくろう	gokurou
無理やり	むりやり	muriyari
敗戦	はいせん	haisenn
勇者	ゆうしゃ	yuusha
不自然	ふしぜん	fushizenn
気持ち良い	きもちよい	kimochiyoi
周知	しゅうち	shuuchi
時給	じきゅう	jikyuu
利便	りべん	ribenn
半径	はんけい	hannkei
敗北	はいぼく	haiboku
不調	ふちょう|ぶちょう	futyou|butyou
競売	きょうばい|けいばい|せりうり	kyoubai|keibai|seriuri
置き場	おきば	okiba
発熱	はつねつ	hatsunetsu
文法	ぶんぽう	bunnpou
建立	こんりゅう	konnryuu
試作	しさく	shisaku
無言	むごん	mugonn
外貨	がいか	gaika
結びつく	むすびつく	musubitsuku
最短	さいたん	saitann
農産物	のうさんぶつ	nousannbutsu
祝う	いわう|いおう	iwau|iou
無理矢理	むりやり	muriyari
信念	しんねん	shinnnenn
試す	ためす	tamesu
漁港	ぎょこう	gyokou
折り返し	おりかえし	orikaeshi
無知	むち	muchi
少量	しょうりょう	shouryou
不十分	ふじゅうぶん	fujuubunn
お参り	おまいり	omairi
積み重ね	つみかさね	tsumikasane
試食	ししょく	shishoku
議決	ぎけつ	giketsu
車種	しゃしゅ	shashu
決戦	けっせん	kessenn
付着	ふちゃく	futyaku
夕飯	ゆうはん|ゆうめし	yuuhann|yuumeshi
熱中	ねっちゅう	nettyuu
競う	きそう|きおう	kisou|kiou
山菜	さんさい	sannsai
一帯	いったい	ittai
連帯	れんたい	renntai
周期	しゅうき	shuuki
愛車	あいしゃ	aisha
愛好	あいこう	aikou
決定的	けっていてき	ketteiteki
単行	たんこう	tannkou
説教	せっきょう	sekkyou
良心	りょうしん	ryoushinn
好感	こうかん	koukann
名付け	なづけ	naduke
働ける	はたらける	hatarakeru
取付	とりつけ	toritsuke
物産	ぶっさん	bussann
達する	たっする	tassuru
たこ焼き	たこやき	takoyaki
海底	かいてい	kaitei
満員	まんいん	manninn
好意	こうい	koui
新卒	しんそつ	shinnsotsu
最小	さいしょう	saishou
結末	けつまつ	ketsumatsu
低温	ていおん	teionn
成形	せいけい	seikei
残高	ざんだか	zanndaka
念願	ねんがん	nenngann
直結	ちょっけつ	tyokketsu
点灯	てんとう	tenntou
種目	しゅもく	shumoku
欠く	かく	kaku
苦戦	くせん	kusenn
折角	せっかく	sekkaku
客席	きゃくせき	kyakuseki
目録	もくろく	mokuroku
出典	しゅってん	shuttenn
量産	りょうさん	ryousann
未成年	みせいねん	miseinenn
変数	へんすう	hennsuu
集約	しゅうやく	shuuyaku
一昨年	いっさくねん|おととし	issakunenn|ototoshi
要す	ようす	yousu
管内	かんない	kannnai
焼きそば	やきそば	yakisoba
終戦	しゅうせん	shuusenn
利点	りてん	ritenn
首位	しゅい	shui
給水	きゅうすい	kyuusui
無数	むすう|むしゅ	musuu|mushu
加害	かがい	kagai
教訓	きょうくん	kyoukunn
希少	きしょう	kishou
戦時	せんじ	sennji
配管	はいかん	haikann
町民	ちょうみん	tyouminn
願望	がんぼう	gannbou
変る	かわる	kawaru
画期的	かっきてき	kakkiteki
法定	ほうてい	houtei
差し出す	さしだす|さしいだす	sashidasu|sashiidasu
欠席	けっせき	kesseki
成す	なす	nasu
別表	べっぴょう	beppyou
集積	しゅうせき	shuuseki
無くす	なくす	nakusu
無用	むよう	muyou
花束	はなたば	hanataba
続出	ぞくしゅつ	zokushutsu
案の定	あんのじょう	annnojou
最期	さいご	saigo
両側	りょうがわ|りょうそく	ryougawa|ryousoku
議事	ぎじ	giji
極力	きょくりょく	kyokuryoku
実例	じつれい	jitsurei
不気味	ぶきみ	bukimi
法要	ほうよう	houyou
熱帯	ねったい	nettai
国旗	こっき	kokki
駅伝	えきでん	ekidenn
最前線	さいぜんせん	saizennsenn
目印	めじるし	mejirushi
挙式	きょしき	kyoshiki
相関	そうかん	soukann
実戦	じっせん	jissenn
買い求める	かいもとめる	kaimotomeru
何卒	なにとぞ	nanitozo
名産	めいさん	meisann
冬季	とうき	touki
不信	ふしん	fushinn
栄え	はえ|さかえ|ばえ	hae|sakae|bae
覚ます	さます	samasu
最古	さいこ	saiko
改変	かいへん	kaihenn
初戦	しょせん	shosenn
民法	みんぽう	minnpou
交差	こうさ	kousa
単品	たんぴん	tannpinn
好物	こうぶつ	koubutsu
分別	ふんべつ|ぶんべつ	funnbetsu|bunnbetsu
単体	たんたい	tanntai
放課後	ほうかご	houkago
照会	しょうかい	shoukai
矢印	やじるし	yajirushi
無茶	むちゃ	mutya
公約	こうやく	kouyaku
積雪	せきせつ	sekisetsu
考案	こうあん	kouann
要約	ようやく	youyaku
区民	くみん	kuminn
消失	しょうしつ|きえうせ	shoushitsu|kieuse
最長	さいちょう	saityou
一挙	いっきょ	ikkyo
街頭	がいとう	gaitou
利息	りそく	risoku
市議	しぎ	shigi
音量	おんりょう	onnryou
指令	しれい	shirei
生まれ変わる	うまれかわる	umarekawaru
望める	のぞめる	nozomeru
老化	ろうか	rouka
協調	きょうちょう	kyoutyou
景品	けいひん	keihinn
梅酒	うめしゅ	umeshu
例会	れいかい	reikai
察し	さっし	sasshi
集結	しゅうけつ	shuuketsu
給油	きゅうゆ	kyuuyu
清算	せいさん	seisann
競合	きょうごう	kyougou
多種	たしゅ	tashu
手札	しゅさつ|てふだ	shusatsu|tefuda
組成	そせい	sosei
公害	こうがい	kougai
欠ける	かける	kakeru
共用	きょうよう	kyouyou
不全	ふぜん	fuzenn
初級	しょきゅう	shokyuu
連立	れんりつ	rennritsu
家臣	かしん	kashinn
着付け	きつけ	kitsuke
野望	やぼう	yabou
試練	しれん	shirenn
極め	きめ|きわめ|ぎめ	kime|kiwame|gime
満つ	みつ	mitsu
戦線	せんせん	sennsenn
害虫	がいちゅう	gaityuu
満席	まんせき	mannseki
付録	ふろく	furoku
最多	さいた	saita
水辺	すいへん|みずべ	suihenn|mizube
単発	たんぱつ	tannpatsu
付す	ふす	fusu
衣類	いるい	irui
標本	ひょうほん	hyouhonn
立案	りつあん	ritsuann
祭典	さいてん	saitenn
最速	さいそく	saisoku
を以て	をもって	womotte
議席	ぎせき	giseki
労組	ろうそ|ろうくみ	rouso|roukumi
衣服	いふく	ifuku
発芽	はつが	hatsuga
挙動	きょどう	kyodou
学芸	がくげい	gakugei
夕焼け	ゆうやけ	yuuyake
合法	ごうほう	gouhou
月給	げっきゅう	gekkyuu
的中	てきちゅう	tekityuu
漁船	ぎょせん	gyosenn
別館	べっかん	bekkann
標的	ひょうてき	hyouteki
連敗	れんぱい	rennpai
昨年度	さくねんど	sakunenndo
付け加える	つけくわえる	tsukekuwaeru
産まれる	うまれる	umareru
戦える	たたかえる	tatakaeru
試写	ししゃ	shisha
課金	かきん	kakinn
競走	きょうそう	kyousou
不意	ふい	fui
園児	えんじ	ennji
着陸	ちゃくりく	tyakuriku
産直	さんちょく	sanntyoku
改名	かいめい	kaimei
戦死	せんし	sennshi
働きかけ	はたらきかけ	hatarakikake
塩分	えんぶん	ennbunn
不定期	ふていき	futeiki
別人	べつじん	betsujinn
落選	らくせん	rakusenn
人的	じんてき	jinnteki
白菜	はくさい|しろな	hakusai|shirona
強要	きょうよう	kyouyou
折りたたみ	おりたたみ	oritatami
県議会	けんぎかい	kenngikai
終結	しゅうけつ	shuuketsu
期末	きまつ	kimatsu
水位	すいい	suii
立法	りっぽう	rippou
不景気	ふけいき	fukeiki
老い	おい	oi
電極	でんきょく	dennkyoku
見極め	みきわめ	mikiwame
下位	かい	kai
加筆	かひつ	kahitsu
飛べる	とべる	toberu
灯り	ともり|あかり	tomori|akari
結びつける	むすびつける	musubitsukeru
試乗	しじょう	shijou
便所	べんじょ	bennjo
事案	じあん	jiann
方位	ほうい	houi
器用	きよう|ぎよう	kiyou|giyou
愛着	あいちゃく|あいじゃく	aityaku|aijaku
作法	さほう|さくほう	sahou|sakuhou
特約	とくやく	tokuyaku
機内	きない	kinai
主治医	しゅじい	shujii
省く	はぶく	habuku
利害	りがい	rigai
発散	はっさん	hassann
水量	すいりょう	suiryou
