情報	じょうほう	jouhou
設計	せっけい	sekkei
条例	じょうれい	jourei
防止	ぼうし	boushi
基準	きじゅん	kijunn
出版	しゅっぱん	shuppann
設備	せつび	setsubi
復活	ふっかつ	fukkatsu
反応	はんのう	hannnou
所属	しょぞく	shozoku
総合	そうごう	sougou
刊行	かんこう	kannkou
規則	きそく	kisoku
原則	げんそく	gennsoku
金額	きんがく	kinngaku
職業	しょくぎょう	shokugyou
指示	しじ|さししめせ	shiji|sashishimese
医師	いし|くすし	ishi|kusushi
製品	せいひん	seihinn
接続	せつぞく	setsuzoku
省略	しょうりゃく	shouryaku
政治	せいじ	seiji
容易	ようい|たやす	youi|tayasu
経営	けいえい	keiei
職種	しょくしゅ	shokushu
開示	かいじ	kaiji
公布	こうふ	koufu
回復	かいふく	kaifuku
表情	ひょうじょう	hyoujou
解消	かいしょう	kaishou
事情	じじょう	jijou
結構	けっこう	kekkou
男性	だんせい	dannsei
得意	とくい	tokui
停止	ていし|ちょうじ	teishi|tyouji
合格	ごうかく	goukaku
支配	しはい	shihai
過言	かごん|かげん	kagonn|kagenn
制限	せいげん	seigenn
現実	げんじつ	gennjitsu
配布	はいふ	haifu
識別	しきべつ	shikibetsu
予告	よこく	yokoku
利益	りえき|りやく	rieki|riyaku
確信	かくしん	kakushinn
再現	さいげん	saigenn
類似	るいじ	ruiji
授業	じゅぎょう	jugyou
弁当	べんとう	benntou
支給	しきゅう	shikyuu
無断	むだん	mudann
製作	せいさく	seisaku
個別	こべつ	kobetsu
好評	こうひょう	kouhyou
実績	じっせき	jisseki
通常	つうじょう	tsuujou
確定	かくてい	kakutei
保有	ほゆう	hoyuu
修理	しゅうり|しゅり	shuuri|shuri
快適	かいてき	kaiteki
最適	さいてき	saiteki
演出	えんしゅつ	ennshutsu
移行	いこう	ikou
限界	げんかい	gennkai
政令	せいれい	seirei
解放	かいほう	kaihou
何故	なぜ|なにゆえ	naze|naniyue
組織	そしき	soshiki
速報	そくほう	sokuhou
見解	けんかい	kennkai
事故	じこ	jiko
業務	ぎょうむ	gyoumu
投資	とうし	toushi
定義	ていぎ	teigi
夢中	むちゅう	mutyuu
検出	けんしゅつ	kennshutsu
査定	さてい	satei
講演	こうえん	kouenn
通過	つうか|とおりすぎ	tsuuka|toorisugi
再生	さいせい	saisei
確実	かくじつ	kakujitsu
文句	もんく	monnku
布団	ふとん|ぶとん	futonn|butonn
再度	さいど	saido
軽減	けいげん	keigenn
再開	さいかい	saikai
規約	きやく	kiyaku
職員	しょくいん	shokuinn
費用	ひよう	hiyou
程度	ていど	teido
出現	しゅつげん	shutsugenn
制定	せいてい	seitei
予測	よそく	yosoku
余談	よだん	yodann
準用	じゅんよう	junnyou
適当	てきとう	tekitou
検査	けんさ	kennsa
測定	そくてい	sokutei
基点	きてん	kitenn
周囲	しゅうい	shuui
講師	こうし|こうじ	koushi|kouji
現地	げんち	gennchi
能力	のうりょく	nouryoku
加減	かげん	kagenn
保険	ほけん	hokenn
貸家	かしや	kashiya
重複	じゅうふく|ちょうふく	juufuku|tyoufuku
殺害	さつがい|せつがい	satsugai|setsugai
品質	ひんしつ	hinnshitsu
現場	げんじょう|げんば	gennjou|gennba
新刊	しんかん	shinnkann
予防	よぼう	yobou
事務	じむ	jimu
事態	じたい	jitai
統一	とういつ	touitsu
出張	しゅっちょう|でば	shuttyou|deba
正解	せいかい	seikai
保持	ほじ	hoji
大勢	おおぜい|たいせい|たいぜい	oozei|taisei|taizei
芸能	げいのう	geinou
統計	とうけい	toukei
手術	しゅじゅつ	shujutsu
採点	さいてん	saitenn
要素	ようそ	youso
検定	けんてい	kenntei
正常	せいじょう	seijou
経由	けいゆ	keiyu
独立	どくりつ	dokuritsu
任意	にんい	ninni
件数	けんすう	kennsuu
中断	ちゅうだん	tyuudann
付属	ふぞく	fuzoku
復元	ふくげん	fukugenn
検証	けんしょう	kennshou
最寄	もより	moyori
素直	すなお	sunao
新設	しんせつ	shinnsetsu
新型	しんがた	shinngata
適正	てきせい	tekisei
職場	しょくば	shokuba
日刊	にっかん	nikkann
日常	にちじょう	nichijou
建築	けんちく	kennchiku
適合	てきごう	tekigou
余計	よけい	yokei
相性	あいしょう|そうしょう	aishou|soushou
解明	かいめい	kaimei
雑貨	ざっか	zakka
基調	きちょう	kityou
特性	とくせい	tokusei
定評	ていひょう	teihyou
常識	じょうしき	joushiki
団体	だんたい	danntai
現代	げんだい	genndai
可決	かけつ	kaketsu
受講	じゅこう	jukou
招待	しょうたい	shoutai
真似	まね	mane
義務	ぎむ	gimu
前述	ぜんじゅつ	zennjutsu
性格	せいかく	seikaku
実態	じったい	jittai
完備	かんび	kannbi
不快	ふかい	fukai
輸入	ゆにゅう	yunyuu
特設	とくせつ	tokusetsu
日程	にってい	nittei
墓地	ぼち	bochi
任命	にんめい	ninnmei
構造	こうぞう	kouzou
混雑	こんざつ	konnzatsu
賛成	さんせい	sannsei
統合	とうごう	tougou
提起	ていき	teiki
習得	しゅうとく	shuutoku
観測	かんそく	kannsoku
公演	こうえん	kouenn
国際	こくさい	kokusai
職務	しょくむ	shokumu
破損	はそん	hasonn
起因	きいん	kiinn
急増	きゅうぞう	kyuuzou
格好	かっこう|かっこ	kakkou|kakko
眼科	がんか	gannka
複雑	ふくざつ	fukuzatsu
告白	こくはく	kokuhaku
性別	せいべつ	seibetsu
余地	よち	yochi
伝統	でんとう	denntou
答弁	とうべん	toubenn
自殺	じさつ	jisatsu
態度	たいど	taido
仮定	かてい	katei
飼育	しいく	shiiku
制服	せいふく	seifuku
税金	ぜいきん	zeikinn
現金	げんきん	gennkinn
応用	おうよう	ouyou
版元	はんもと	hannmoto
的確	てきかく|てっかく	tekikaku|tekkaku
制度	せいど	seido
総務	そうむ	soumu
点在	てんざい	tennzai
判決	はんけつ	hannketsu
規制	きせい	kisei
修行	しゅぎょう	shugyou
断念	だんねん	dannnenn
提唱	ていしょう	teishou
判定	はんてい	hanntei
意義	いぎ	igi
消費	しょうひ	shouhi
移住	いじゅう	ijuu
絶賛	ぜっさん	zessann
研修	けんしゅう	kennshuu
賛同	さんどう	sanndou
伝授	でんじゅ	dennju
個室	こしつ	koshitsu
政府	せいふ	seifu
寄付	きふ|よせつけ	kifu|yosetsuke
明示	めいじ	meiji
防犯	ぼうはん	bouhann
入居	にゅうきょ	nyuukyo
同居	どうきょ	doukyo
告知	こくち	kokuchi
配属	はいぞく	haizoku
個性	こせい	kosei
強制	きょうせい	kyousei
行政	ぎょうせい	gyousei
留学	りゅうがく	ryuugaku
救急	きゅうきゅう	kyuukyuu
週刊	しゅうかん	shuukann
分解	ぶんかい	bunnkai
職歴	しょくれき	shokureki
要件	ようけん	youkenn
特価	とっか	tokka
性質	せいしつ	seishitsu
再建	さいけん|さいこん	saikenn|saikonn
精通	せいつう	seitsuu
要因	よういん	youinn
増大	ぞうだい	zoudai
永遠	えいえん|とわ	eienn|towa
本質	ほんしつ	honnshitsu
業績	ぎょうせき	gyouseki
効力	こうりょく	kouryoku
油断	ゆだん	yudann
絶大	ぜつだい	zetsudai
標準	ひょうじゅん	hyoujunn
国境	くにざかい|こっきょう	kunizakai|kokkyou
混在	こんざい	konnzai
改造	かいぞう	kaizou
規程	きてい	kitei
居住	きょじゅう	kyojuu
田舎	いなか	inaka
復帰	ふっき	fukki
再会	さいかい	saikai
断言	だんげん	danngenn
故意	こい	koi
証言	しょうげん	shougenn
予報	よほう	yohou
上演	じょうえん	jouenn
実情	じつじょう	jitsujou
講義	こうぎ	kougi
財布	さいふ	saifu
主婦	しゅふ	shufu
高額	こうがく	kougaku
上限	じょうげん	jougenn
選任	せんにん	sennninn
下限	かげん	kagenn
体制	たいせい	taisei
分布	ぶんぷ	bunnpu
損失	そんしつ	sonnshitsu
素人	しろうと	shirouto
解散	かいさん	kaisann
備考	びこう	bikou
謝罪	しゃざい	shazai
断然	だんぜん	dannzenn
成績	せいせき	seiseki
貯金	ちょきん	tyokinn
清潔	せいけつ	seiketsu
暗殺	あんさつ	annsatsu
精神	せいしん	seishinn
前条	ぜんじょう	zennjou
食堂	しょくどう|じきどう	shokudou|jikidou
武器	ぶき	buki
独断	どくだん	dokudann
実在	じつざい	jitsuzai
無限	むげん	mugenn
正義	せいぎ	seigi
才能	さいのう	sainou
実証	じっしょう	jisshou
面接	めんせつ	mennsetsu
不可	ふか	fuka
図版	ずはん	zuhann
不備	ふび	fubi
留意	りゅうい	ryuui
感情	かんじょう	kannjou
自在	じざい	jizai
習慣	しゅうかん	shuukann
多額	たがく	tagaku
得体	えたい	etai
愛情	あいじょう	aijou
大型	おおがた	oogata
有益	ゆうえき	yuueki
圧力	あつりょく	atsuryoku
逆転	ぎゃくてん	gyakutenn
率直	そっちょく	sottyoku
限度	げんど	genndo
広報	こうほう	kouhou
案件	あんけん	annkenn
挙句	あげく	ageku
混同	こんどう	konndou
課税	かぜい	kazei
博士	はかせ|はくし	hakase|hakushi
複写	ふくしゃ	fukusha
切断	せつだん	setsudann
効能	こうのう	kounou
芸術	げいじゅつ	geijutsu
独特	どくとく	dokutoku
低迷	ていめい	teimei
出資	しゅっし	shusshi
可愛	かわい	kawai
接近	せっきん	sekkinn
解体	かいたい	kaitai
物質	ぶっしつ	busshitsu
神経	しんけい	shinnkei
犯罪	はんざい	hannzai
資金	しきん	shikinn
開講	かいこう	kaikou
集団	しゅうだん	shuudann
保全	ほぜん	hozenn
停車	ていしゃ	teisha
総会	そうかい	soukai
採取	さいしゅ	saishu
財産	ざいさん	zaisann
現象	げんしょう	gennshou
輸出	ゆしゅつ	yushutsu
提言	ていげん	teigenn
編成	へんせい	hennsei
情熱	じょうねつ	jounetsu
適応	てきおう	tekiou
配備	はいび	haibi
過失	かしつ	kashitsu
編入	へんにゅう	hennnyuu
増進	ぞうしん	zoushinn
資産	しさん	shisann
迷子	まいご	maigo
意志	いし	ishi
説得	せっとく	settoku
分断	ぶんだん	bunndann
格別	かくべつ	kakubetsu
所在	しょざい	shozai
容量	ようりょう	youryou
境内	けいだい	keidai
風情	ふぜい	fuzei
共演	きょうえん	kyouenn
加圧	かあつ	kaatsu
接客	せっきゃく	sekkyaku
建造	けんぞう	kennzou
移植	いしょく	ishoku
委任	いにん	ininn
原告	げんこく	gennkoku
運勢	うんせい	unnsei
低減	ていげん	teigenn
打破	だは|うちやぶ	daha|uchiyabu
法規	ほうき	houki
墓石	はかいし|ぼせき	hakaishi|boseki
主眼	しゅがん	shugann
混入	こんにゅう	konnnyuu
許容	きょよう	kyoyou
血液	けつえき	ketsueki
現役	げんえき	genneki
往復	おうふく	oufuku
決断	けつだん	ketsudann
教授	きょうじゅ	kyouju
上質	じょうしつ	joushitsu
功績	こうせき	kouseki
評点	ひょうてん	hyoutenn
発刊	はっかん	hakkann
採決	さいけつ	saiketsu
形状	けいじょう	keijou
計測	けいそく	keisoku
作製	さくせい	sakusei
救出	きゅうしゅつ	kyuushutsu
経路	けいろ	keiro
断定	だんてい	danntei
適法	てきほう	tekihou
暗示	あんじ	annji
演技	えんぎ	enngi
書評	しょひょう	shohyou
性能	せいのう	seinou
形態	けいたい	keitai
教師	きょうし	kyoushi
天災	てんさい	tennsai
任期	にんき	ninnki
定率	ていりつ	teiritsu
防災	ぼうさい	bousai
夢見	ゆめみ	yumemi
総額	そうがく	sougaku
本件	ほんけん	honnkenn
移築	いちく	ichiku
雑談	ざつだん|ぞうたん	zatsudann|zoutann
支店	してん	shitenn
賞品	しょうひん	shouhinn
法則	ほうそく	housoku
保守	ほしゅ	hoshu
過程	かてい	katei
告示	こくじ	kokuji
復刊	ふくかん|ふっかん	fukukann|fukkann
標識	ひょうしき	hyoushiki
絶品	ぜっぴん	zeppinn
比例	ひれい|ぴれい	hirei|pirei
主演	しゅえん	shuenn
初版	しょはん	shohann
定額	ていがく|じょうがく	teigaku|jougaku
反逆	はんぎゃく	hanngyaku
支出	ししゅつ	shishutsu
実費	じっぴ	jippi
資本	しほん	shihonn
体質	たいしつ	taishitsu
精進	しょうじん	shoujinn
絶景	ぜっけい	zekkei
災害	さいがい	saigai
支度	したく|じたく	shitaku|jitaku
入賞	にゅうしょう	nyuushou
停電	ていでん	teidenn
仮面	かめん	kamenn
急務	きゅうむ	kyuumu
眼鏡	がんきょう|めがね	gannkyou|megane
容器	ようき	youki
制約	せいやく	seiyaku
留守	るす	rusu
上述	じょうじゅつ	joujutsu
保健	ほけん	hokenn
志望	しぼう	shibou
確約	かくやく	kakuyaku
苦情	くじょう	kujou
同条	どうじょう	doujou
指圧	しあつ	shiatsu
夫婦	ふうふ|めおと|みょうと	fuufu|meoto|myouto
解禁	かいきん	kaikinn
絶望	ぜつぼう	zetsubou
余念	よねん	yonenn
在住	ざいじゅう	zaijuu
倍率	ばいりつ	bairitsu
特許	とっきょ	tokkyo
立証	りっしょう	risshou
燃油	ねんゆ	nennyu
総力	そうりょく	souryoku
幹事	かんじ	kannji
測位	そくい	sokui
責務	せきむ	sekimu
絶版	ぜっぱん	zeppann
朝刊	ちょうかん	tyoukann
半減	はんげん	hanngenn
先制	せんせい	sennsei
戦略	せんりゃく	sennryaku
期限	きげん	kigenn
逆手	ぎゃくて|さかて	gyakute|sakate
交際	こうさい	kousai
人質	ひとじち	hitojichi
平均	へいきん	heikinn
病状	びょうじょう	byoujou
減額	げんがく	genngaku
暴行	ぼうこう	boukou
効率	こうりつ	kouritsu
常備	じょうび	joubi
素顔	すがお	sugao
件名	けんめい	kennmei
犯人	はんにん	hannninn
航空	こうくう	koukuu
業態	ぎょうたい	gyoutai
仏教	ぶっきょう	bukkyou
健在	けんざい	kennzai
修復	しゅうふく	shuufuku
移設	いせつ	isetsu
損保	そんぽ	sonnpo
適度	てきど	tekido
移管	いかん	ikann
地歴	ちれき	chireki
告発	こくはつ	kokuhatsu
判別	はんべつ	hannbetsu
包囲	ほうい	houi
招集	しょうしゅう	shoushuu
通告	つうこく	tsuukoku
倍増	ばいぞう	baizou
歴任	れきにん	rekininn
財務	ざいむ	zaimu
夕刊	ゆうかん	yuukann
月刊	げっかん	gekkann
境界	きょうかい|きょうがい|けいかい	kyoukai|kyougai|keikai
点検	てんけん	tennkenn
余分	よぶん	yobunn
時価	じか	jika
修得	しゅうとく	shuutoku
経年	けいねん	keinenn
絶句	ぜっく	zekku
火災	かさい	kasai
真価	しんか	shinnka
演歌	えんか	ennka
人妻	ひとづま	hitoduma
辞任	じにん	jininn
代弁	だいべん	daibenn
賞賛	しょうさん	shousann
運輸	うんゆ	unnyu
不在	ふざい	fuzai
過度	かど	kado
主導	しゅどう	shudou
絶好	ぜっこう	zekkou
後述	こうじゅつ	koujutsu
解任	かいにん	kaininn
平素	へいそ	heiso
武士	ぶし|もののふ	bushi|mononofu
申告	しんこく	shinnkoku
体現	たいげん	taigenn
所得	しょとく|ところえ	shotoku|tokoroe
防衛	ぼうえい	bouei
経歴	けいれき	keireki
対比	たいひ	taihi
職人	しょくにん	shokuninn
移送	いそう	isou
受領	じゅりょう|ずりょう	juryou|zuryou
保育	ほいく	hoiku
判然	はんぜん	hannzenn
同情	どうじょう	doujou
車検	しゃけん	shakenn
寄生	きせい	kisei
復旧	ふっきゅう	fukkyuu
復興	ふっこう	fukkou
心得	こころえ|こころう	kokoroe|kokorou
営利	えいり	eiri
暴力	ぼうりょく	bouryoku
単独	たんどく	tanndoku
半額	はんがく	hanngaku
比重	ひじゅう	hijuu
横断	おうだん	oudann
予断	よだん	yodann
貸切	かしきり|かしき	kashikiri|kashiki
志向	しこう	shikou
歴然	れきぜん	rekizenn
救助	きゅうじょ	kyuujo
賞味	しょうみ	shoumi
接待	せったい	settai
検挙	けんきょ	kennkyo
応対	おうたい	outai
造成	ぞうせい	zousei
比率	ひりつ	hiritsu
快挙	かいきょ	kaikyo
外構	がいこう	gaikou
領土	りょうど	ryoudo
散在	さんざい	sannzai
官報	かんぽう	kannpou
実務	じつむ	jitsumu
水準	すいじゅん	suijunn
構想	こうそう	kousou
公告	こうこく	koukoku
貧富	ひんぷ	hinnpu
技能	ぎのう	ginou
中略	ちゅうりゃく	tyuuryaku
採集	さいしゅう	saishuu
属性	ぞくせい	zokusei
迷宮	めいきゅう	meikyuu
歴代	れきだい	rekidai
保養	ほよう	hoyou
永久	えいきゅう|とこしえ|とわ|とこしなえ	eikyuu|tokoshie|towa|tokoshinae
名義	めいぎ	meigi
開演	かいえん	kaienn
制止	せいし	seishi
典型	てんけい	tennkei
河川	かせん	kasenn
精度	せいど	seido
初演	しょえん	shoenn
人格	じんかく	jinnkaku
友情	ゆうじょう	yuujou
発現	はつげん	hatsugenn
確率	かくりつ	kakuritsu
圧勝	あっしょう	asshou
信条	しんじょう	shinnjou
相応	そうおう|ふさわし	souou|fusawashi
照準	しょうじゅん	shoujunn
過料	かりょう	karyou
要領	ようりょう	youryou
増量	ぞうりょう	zouryou
図示	ずし	zushi
造営	ぞうえい	zouei
性的	せいてき	seiteki
常温	じょうおん	jouonn
年額	ねんがく	nenngaku
迷路	めいろ	meiro
美術	びじゅつ	bijutsu
公示	こうじ	kouji
散布	さんぷ	sannpu
制圧	せいあつ	seiatsu
気象	きしょう	kishou
講習	こうしゅう	koushuu
原型	げんけい	gennkei
次条	じじょう	jijou
殺人	さつじん	satsujinn
改築	かいちく	kaichiku
禁物	きんもつ	kinnmotsu
良質	りょうしつ	ryoushitsu
気絶	きぜつ	kizetsu
師事	しじ	shiji
協賛	きょうさん	kyousann
混合	こんごう	konngou
改修	かいしゅう	kaishuu
統治	とうち|とうじ	touchi|touji
運航	うんこう	unnkou
確固	かっこ	kakko
酸味	さんみ|すみ	sannmi|sumi
質屋	しちや	shichiya
県境	けんきょう|けんざかい	kennkyou|kennzakai
居城	きょじょう	kyojou
月額	げつがく	getsugaku
鉱物	こうぶつ	koubutsu
演芸	えんげい	enngei
快勝	かいしょう	kaishou
犯行	はんこう	hannkou
燃焼	ねんしょう	nennshou
電報	でんぽう	dennpou
神職	しんしょく	shinnshoku
公務	こうむ	koumu
無罪	むざい	muzai
築年	ちくねん	chikunenn
仏具	ぶつぐ	butsugu
解約	かいやく	kaiyaku
具備	ぐび	gubi
流布	るふ	rufu
根幹	こんかん	konnkann
悪夢	あくむ	akumu
正規	せいき	seiki
勢力	せいりょく	seiryoku
買得	かいどく	kaidoku
総理	そうり	souri
心境	しんきょう	shinnkyou
教示	きょうし|きょうじ	kyoushi|kyouji
増設	ぞうせつ	zousetsu
住基	じゅうき	juuki
暴走	ぼうそう	bousou
留置	とめおき|りゅうち	tomeoki|ryuuchi
製薬	せいやく	seiyaku
近接	きんせつ	kinnsetsu
和解	わかい	wakai
不測	ふそく	fusoku
防水	ぼうすい	bousui
逆行	ぎゃっこう	gyakkou
防音	ぼうおん	bouonn
再発	さいはつ	saihatsu
無職	むしょく|ぶしょく	mushoku|bushoku
競技	きょうぎ	kyougi
興信	こうしん	koushinn
再任	さいにん	saininn
仮説	かせつ	kasetsu
工程	こうてい	koutei
総研	そうけん	soukenn
差額	さがく	sagaku
金賞	きんしょう	kinnshou
貸借	たいしゃく	taishaku
法務	ほうむ	houmu
雑然	ざつぜん	zatsuzenn
冬型	ふゆがた	fuyugata
製法	せいほう	seihou
課程	かてい	katei
検知	けんち	kennchi
悪評	あくひょう	akuhyou
悪質	あくしつ	akushitsu
学費	がくひ	gakuhi
市政	しせい	shisei
在学	ざいがく	zaigaku
感性	かんせい	kannsei
条文	じょうぶん	joubunn
定価	ていか	teika
金属	きんぞく	kinnzoku
判例	はんれい	hannrei
貸出	かしだし	kashidashi
寄進	きしん	kishinn
順序	じゅんじょ	junnjo
有罪	ゆうざい	yuuzai
常連	じょうれん	jourenn
地価	ちか	chika
経費	けいひ	keihi
本格	ほんかく	honnkaku
快晴	かいせい	kaisei
財政	ざいせい	zaisei
居候	いそうろう	isourou
増築	ぞうちく	zouchiku
余程	よほど	yohodo
手際	てぎわ	tegiwa
保留	ほりゅう	horyuu
粉末	ふんまつ	funnmatsu
資質	ししつ	shishitsu
経理	けいり	keiri
人財	じんざい	jinnzai
続編	ぞくへん	zokuhenn
間接	かんせつ	kannsetsu
大賞	たいしょう	taishou
精製	せいせい	seisei
損金	そんきん	sonnkinn
音質	おんしつ	onnshitsu
在職	ざいしょく	zaishoku
築城	ちくじょう	chikujou
先述	せんじゅつ	sennjutsu
任務	にんむ	ninnmu
税率	ぜいりつ	zeiritsu
健保	けんぽ	kennpo
築造	ちくぞう	chikuzou
先導	せんどう	senndou
現行	げんこう	gennkou
型式	かたしき|けいしき	katashiki|keishiki
料率	りょうりつ	ryouritsu
電停	でんてい	denntei
眼下	がんか	gannka
銅像	どうぞう	douzou
修業	しゅうぎょう|しゅぎょう	shuugyou|shugyou
内在	ないざい	naizai
例示	れいじ	reiji
適量	てきりょう	tekiryou
間際	まぎわ	magiwa
安易	あんい	anni
規格	きかく	kikaku
冷製	れいせい	reisei
断固	だんこ	dannko
調製	ちょうせい	tyousei
高価	こうか|たか|だか	kouka|taka|daka
輸送	ゆそう	yusou
本領	ほんりょう	honnryou
加護	かご	kago
増強	ぞうきょう	zoukyou
血圧	けつあつ	ketsuatsu
燃料	ねんりょう	nennryou
役務	えきむ	ekimu
型番	かたばん	katabann
機構	きこう	kikou
血眼	ちまなこ|ちめ	chimanako|chime
着任	ちゃくにん	tyakuninn
破格	はかく	hakaku
造園	ぞうえん	zouenn
精査	せいさ	seisa
技法	ぎほう	gihou
体得	たいとく	taitoku
反故	ほうぐ|ほうご|ほぐ|ほご	hougu|hougo|hogu|hogo
文責	ぶんせき	bunnseki
労務	ろうむ	roumu
同義	どうぎ	dougi
接着	せっちゃく	settyaku
報知	ほうち	houchi
係留	けいりゅう	keiryuu
国営	こくえい	kokuei
貧血	ひんけつ	hinnketsu
均整	きんせい	kinnsei
均等	きんとう	kinntou
再録	さいろく	sairoku
特技	とくぎ	tokugi
築地	ついじ|つきじ	tsuiji|tsukiji
演説	えんぜつ	ennzetsu
条数	じょうすう	jousuu
質素	しっそ	shisso
天職	てんしょく	tennshoku
学歴	がくれき	gakureki
暴言	ぼうげん	bougenn
祖母	そぼ|おば|ばば	sobo|oba|baba
雑費	ざっぴ	zappi
国政	こくせい	kokusei
好演	こうえん	kouenn
広義	こうぎ	kougi
逆説	ぎゃくせつ	gyakusetsu
発布	はっぷ	happu
残留	ざんりゅう	zannryuu
資材	しざい	shizai
紀行	きこう	kikou
本能	ほんのう	honnnou
団長	だんちょう	danntyou
全容	ぜんよう	zennyou
木造	もくぞう	mokuzou
欠損	けっそん	kessonn
上告	じょうこく	joukoku
査読	さどく	sadoku
増減	ぞうげん	zougenn
格差	かくさ	kakusa
構図	こうず	kouzu
祖父	そふ|おおじ|じい|じじ	sofu|ooji|jii|jiji
永住	えいじゅう	eijuu
政界	せいかい	seikai
毛布	もうふ	moufu
基地	きち	kichi
軽快	けいかい	keikai
解答	かいとう	kaitou
快方	かいほう	kaihou
小型	こがた	kogata
果報	かほう	kahou
銀河	ぎんが	ginnga
品性	ひんせい	hinnsei
備品	びひん	bihinn
武力	ぶりょく	buryoku
弁明	べんめい	bennmei
入団	にゅうだん	nyuudann
増額	ぞうがく	zougaku
形容	けいよう	keiyou
常用	じょうよう	jouyou
大志	たいし	taishi
均一	きんいつ	kinnitsu
要職	ようしょく	youshoku
旧型	きゅうがた	kyuugata
再燃	さいねん	sainenn
再興	さいこう	saikou
不評	ふひょう	fuhyou
仏像	ぶつぞう	butsuzou
過信	かしん	kashinn
知財	ちざい	chizai
用件	ようけん	youkenn
支社	ししゃ	shisha
複合	ふくごう	fukugou
別条	べつじょう	betsujou
上程	じょうてい	joutei
禁断	きんだん	kinndann
増水	ぞうすい	zousui
自衛	じえい	jiei
防人	さきもり	sakimori
判示	はんじ	hannji
送検	そうけん	soukenn
花粉	かふん	kafunn
平易	へいい	heii
格言	かくげん	kakugenn
損益	そんえき	sonneki
減量	げんりょう	gennryou
雑記	ざっき	zakki
適職	てきしょく	tekishoku
公職	こうしょく	koushoku
祖国	そこく	sokoku
義理	ぎり	giri
雑感	ざっかん	zakkann
価額	かがく	kagaku
燃費	ねんぴ	nennpi
修整	しゅうせい	shuusei
製本	せいほん	seihonn
航行	こうこう	koukou
得点	とくてん	tokutenn
略歴	りゃくれき	ryakureki
過大	かだい	kadai
護衛	ごえい	goei
仮名	かな|かめい|がな|けみょう	kana|kamei|gana|kemyou
輸血	ゆけつ	yuketsu
夜桜	よざくら	yozakura
非業	ひごう	higou
食費	しょくひ	shokuhi
断行	だんこう	dannkou
個数	こすう	kosuu
短編	たんぺん	tannpenn
保身	ほしん	hoshinn
雑草	ざっそう	zassou
在日	ざいにち	zainichi
同士	どうし	doushi
