自分	じぶん	jibunn
黄色	おうしょく|きいろ|こうしょく	oushoku|kiiro|koushoku
用紙	ようし	youshi
自立	じりつ	jiritsu
国土	こくど	kokudo
外れ	はずれ	hazure
自社	じしゃ	jisha
何に	なんに	nannni
新年	しんねん	shinnnenn
分かれ	わかれ	wakare
先行	せんこう	sennkou
出店	しゅってん|でみせ	shuttenn|demise
青春	せいしゅん	seishunn
会う	あう|おう	au|ou
早朝	そうちょう	souchou
店頭	てんとう	tenntou
広がり	ひろがり	hirogari
歌う	うたう|うとう	utau|utou
姉さん	ねえさん	neesann
この間	このあいだ	konoaida
前記	ぜんき	zennki
歌手	かしゅ	kashu
親切	しんせつ	shinnsetsu
見通し	みとおし	mitooshi
大地	だいち	daichi
売る	うる	uru
自作	じさく	jisaku
店名	てんめい	tennmei
立地	りっち	ricchi
原理	げんり	gennri
通る	とおる	tooru
本番	ほんばん	honnbann
黄金	おうごん|こがね	ougonn|kogane
校長	こうちょう	kouchou
長年	ちゃんねん|ながねん	channnenn|naganenn
日光	にっこう	nikkou
林道	りんどう	rinndou
手間	てま|でま	tema|dema
高める	たかめる	takameru
点数	てんすう	tennsuu
親父	おやじ|しんぷ	oyaji|shinnpu
社内	しゃない	shanai
天才	てんさい	tennsai
同人	どうじん|どうにん	doujinn|douninn
長男	ちょうなん	chounann
行方	ゆくえ	yukue
上場	じょうじょう	joujou
日時	にちじ	nichiji
外出	がいしゅつ	gaishutsu
絵画	かいが	kaiga
答える	こたえる	kotaeru
図書	としょ|ずしょ	tosho|zusho
大半	たいはん	taihann
知人	ちじん	chijinn
細い	ほそい|こまかい|こまい	hosoi|komakai|komai
夜中	やちゅう|よなか	yachuu|yonaka
心地	ここち|ごこち|しんじ	kokochi|gokochi|shinnji
用いる	もちいる	mochiiru
肉体	にくたい	nikutai
合同	ごうどう	goudou
前年	ぜんねん	zennnenn
手元	てもと	temoto
国語	こくご	kokugo
文明	ぶんめい	bunnmei
夜間	やかん	yakann
引く	ひく	hiku
入社	にゅうしゃ	nyuusha
来場	らいじょう	raijou
日米	にちべい	nichibei
外来	がいらい	gairai
百万	ひゃくまん	hyakumann
弟子	でし|ていし	deshi|teishi
海上	かいじょう|かいしょう	kaijou|kaishou
何時	いつ|なんどき	itsu|nanndoki
生理	せいり	seiri
一家	いっか	ikka
後日	ごじつ	gojitsu
聞こえる	きこえる	kikoeru
土曜	どよう	doyou
合理	ごうり	gouri
分子	ぶんし	bunnshi
数十	すうじゅう	suujuu
兄ちゃん	にいちゃん	niichann
半ば	なかば	nakaba
買える	かえる	kaeru
兄さん	にいさん	niisann
日数	にっすう|ひかず	nissuu|hikazu
来月	らいげつ	raigetsu
正体	しょうたい|せいたい	shoutai|seitai
天国	てんごく	tenngoku
正当	せいとう	seitou
足元	あしもと	ashimoto
止める	とめる|やめる|とどめる	tomeru|yameru|todomeru
道場	どうじょう	doujou
通学	つうがく	tsuugaku
立体	りったい	rittai
歩行	ほこう	hokou
高山	こうざん	kouzann
一同	いちどう	ichidou
分間	ぶんけん|ふんかん|ぷんかん	bunnkenn|funnkann|punnkann
工学	こうがく	kougaku
小売	こうり	kouri
公立	こうりつ	kouritsu
町内	ちょうない|まちうち	chounai|machiuchi
回る	まわる	mawaru
心がけ	こころがけ	kokorogake
思いっきり	おもいっきり	omoikkiri
明記	めいき	meiki
合わせる	あわせる	awaseru
回線	かいせん	kaisenn
組み	くみ|ぐみ	kumi|gumi
車内	しゃない	shanai
読める	よめる	yomeru
直線	ちょくせん	chokusenn
東方	とうほう|ひがしがた	touhou|higashigata
本線	ほんせん	honnsenn
体内	たいない	tainai
地理	ちり	chiri
少数	しょうすう	shousuu
通行	つうこう	tsuukou
目線	めせん	mesenn
同行	どうこう|どうぎょう	doukou|dougyou
地形	ちけい|じぎょう	chikei|jigyou
南北	なんぼく	nannboku
買い上げ	かいあげ	kaiage
数え	かぞえ	kazoe
歩道	ほどう	hodou
売れる	うれる	ureru
同日	どうじつ	doujitsu
来日	らいにち	rainichi
気楽	きらく	kiraku
名作	めいさく	meisaku
町長	ちょうちょう	chouchou
野生	やせい	yasei
作れる	つくれる	tsukureru
直ぐ	すぐ	sugu
話し合い	はなしあい	hanashiai
売り上げ	うりあげ	uriage
東西	とうざい|ひんがしにし	touzai|hinngashinishi
友だち	ともだち	tomodachi
当地	とうち	touchi
引き出し	ひきだし	hikidashi
千万	せんばん|せんまん	sennbann|sennmann
食う	くう	kuu
通用	つうよう	tsuuyou
間近	まじか	majika
三角	さんかく	sannkaku
出番	でばん	debann
空室	くうしつ	kuushitsu
画家	がか	gaka
引き上げ	ひきあげ	hikiage
会合	かいごう	kaigou
人前	ひとまえ|にんまえ	hitomae|ninnmae
後方	こうほう|のちかた	kouhou|nochikata
一行	いっこう|ひとくだり	ikkou|hitokudari
原点	げんてん	genntenn
通う	かよう|がよう	kayou|gayou
親友	しんゆう	shinnyuu
売り切れ	うりきれ	urikire
近づく	ちかづく	chikaduku
黄色い	きいろい	kiiroi
青少年	せいしょうねん	seishounenn
出前	でまえ	demae
気合	きあい	kiai
行なう	おこなう	okonau
同年	どうねん	dounenn
公正	こうせい	kousei
新書	しんしょ	shinnsho
通い	かよい|がよい	kayoi|gayoi
光る	ひかる	hikaru
姉ちゃん	ねえちゃん	neechann
多いん	たいん	tainn
組み立て	くみたて	kumitate
牛肉	ぎゅうにく	gyuuniku
算出	さんしゅつ	sannshutsu
広大	こうだい	koudai
原子	げんし	gennshi
お家	おいえ|おうち	oie|ouchi
当方	とうほう	touhou
前方	ぜんぽう|まえかた	zennpou|maekata
強引	ごういん	gouinn
年数	ねんすう	nennsuu
目当て	めあて	meate
馬場	うまば|ばば	umaba|baba
本場	ほんば	honnba
数百	すーひゃく	su-hyaku
外見	がいけん|そとみ	gaikenn|sotomi
万が一	まんがいち	manngaichi
直ちに	ただちに	tadachini
本作	ほんさく	honnsaku
新車	しんしゃ	shinnsha
止まり	とまり|とどまり|どまり	tomari|todomari|domari
休止	きゅうし	kyuushi
語学	ごがく	gogaku
前作	ぜんさく	zennsaku
直す	なおす	naosu
家づくり	いえづくり	iedukuri
合間	あいま	aima
歩み	あゆみ	ayumi
その方	そのほう	sonohou
知らせ	しらせ	shirase
会える	あえる	aeru
上回る	うわまわる	uwamawaru
理科	りか	rika
心地よい	ここちよい	kokochiyoi
切れる	きれる	kireru
出来上がり	できあがり	dekiagari
か知ら	かしら	kashira
計上	けいじょう	keijou
元年	がんねん	gannnenn
月曜	げつよう	getsuyou
方言	ほうげん	hougenn
色合い	いろあい	iroai
通じる	つうじる	tsuujiru
何十	なんじゅう	nannjuu
思いで	おもいで	omoide
野田	のだ	noda
歌声	うたごえ	utagoe
古本	ふるほん	furuhonn
外人	がいじん	gaijinn
カ国	かこく	kakoku
百科	ひゃっか	hyakka
円高	えんだか	enndaka
止まる	とまる|とどまる	tomaru|todomaru
音色	ねいろ|おんしょく	neiro|onnshoku
西口	にしぐち	nishiguchi
立ち読み	たちよみ	tachiyomi
車線	しゃせん	shasenn
切手	きって|ぎって	kitte|gitte
長女	ちょうじょ|おさめ	choujo|osame
本家	ほんけ	honnke
一点	いってん	ittenn
教科	きょうか	kyouka
大国	たいこく	taikoku
大工	だいく|だいこう	daiku|daikou
母子	ぼし|ははこ	boshi|hahako
高木	こうぼく	kouboku
大声	おおごえ|たいせい	oogoe|taisei
百合	ゆり	yuri
番地	ばんち	bannchi
目黒	めぐろ	meguro
生体	せいたい	seitai
売り場	うりば	uriba
曜日	ようび	youbi
野外	やがい	yagai
小麦	こむぎ	komugi
北上	ほくじょう	hokujou
春日	しゅんじつ	shunnjitsu
太い	ふとい|ぶとい	futoi|butoi
金曜	きんよう	kinnyou
一夜	ひとよ|いちや	hitoyo|ichiya
人体	じんたい|じんてい|にんてい	jinntai|jinntei|ninntei
白鳥	はくちょう|しらとり	hakuchou|shiratori
金魚	きんぎょ	kinngyo
回す	まわす	mawasu
通話	つうわ	tsuuwa
山道	さんどう|やまみち	sanndou|yamamichi
社名	しゃめい	shamei
万一	まんいち	mannichi
海水	かいすい	kaisui
家計	かけい	kakei
名言	めいげん	meigenn
一角	いっかく|ひとかど	ikkaku|hitokado
野鳥	やちょう	yachou
自力	じりき	jiriki
広げる	ひろげる	hirogeru
長文	ちょうぶん	choubunn
同市	どうし	doushi
国内外	こくないがい	kokunaigai
声明	せいめい|しょうみょう	seimei|shoumyou
北東	ほくとう	hokutou
番手	ばんて	bannte
上京	じょうきょう	joukyou
この方	このほう|このかた	konohou|konokata
引け	ひけ	hike
夜明け	よあけ	yoake
店や	みせや	miseya
車体	しゃたい	shatai
用地	ようち	youchi
南海	なんかい	nannkai
明細	めいさい	meisai
外食	がいしょく	gaishoku
内外	ないがい|うちそと	naigai|uchisoto
道中	どうちゅう	douchuu
高まる	たかまる	takamaru
野口	のぐち	noguchi
毎朝	まいあさ	maiasa
南西	なんせい	nannsei
里山	さとやま	satoyama
入国	にゅうこく	nyuukoku
自国	じこく	jikoku
親方	おやかた	oyakata
台数	だいすう	daisuu
白馬	しろうま|はくば	shirouma|hakuba
メル友	めるとも	merutomo
読売	よみうり	yomiuri
楽園	らくえん	rakuenn
高まり	たかまり	takamari
活力	かつりょく	katsuryoku
北西	ほくせい	hokusei
中元	ちゅうげん	chuugenn
明後日	みょうごにち|あさって	myougonichi|asatte
切ない	せつない	setsunai
上方	かみがた|じょうほう	kamigata|jouhou
帰り道	かえりみち	kaerimichi
売店	ばいてん	baitenn
大社	たいしゃ	taisha
黒人	こくじん	kokujinn
公社	こうしゃ	kousha
強風	きょうふう	kyoufuu
年内	ねんない	nennnai
通す	とおす|どおす	toosu|doosu
国交	こっこう	kokkou
書道	しょどう	shodou
山間	さんかん|やまあい	sannkann|yamaai
書ける	かける	kakeru
金色	きんいろ|こんじき	kinniro|konnjiki
作文	さくぶん	sakubunn
前線	ぜんせん	zennsenn
風水	ふうすい	fuusui
万年	まんねん	mannnenn
弱点	じゃくてん	jakutenn
入園	にゅうえん	nyuuenn
丸い	まるい|まりい	marui|marii
手首	てくび	tekubi
当分	とうぶん	toubunn
日夜	にちや	nichiya
手書き	てがき|てかき	tegaki|tekaki
外す	はずす	hazusu
小池	こいけ	koike
気合い	きあい	kiai
光学	こうがく	kougaku
土台	どだい	dodai
当てる	あてる	ateru
本数	ほんすう	honnsuu
台場	だいば	daiba
活気	かっき	kakki
船長	せんちょう	sennchou
父母	ちちはは|ふぼ	chichihaha|fubo
思いやり	おもいやり	omoiyari
古来	こらい	korai
東口	ひがしぐち	higashiguchi
一通り	ひととおり	hitotoori
合体	がったい	gattai
星空	ほしぞら	hoshizora
月間	げっかん	gekkann
間に合う	まにあう|まにおう	maniau|maniou
古書	こしょ	kosho
日当たり	ひあたり	hiatari
見合い	みあい	miai
分ける	わける	wakeru
大作	たいさく	taisaku
細か	こまか	komaka
新田	しんでん|しんた	shinndenn|shinnta
直行	ちょっこう	chokkou
母さん	かあさん	kaasann
当り	あたり	atari
通算	つうさん	tsuusann
小鳥	ことり	kotori
遠方	えんぽう	ennpou
数千	すうせん	suusenn
風土	ふうど|ふど	fuudo|fudo
白色	しろいろ|はくしょく	shiroiro|hakushoku
王朝	おうちょう	ouchou
組む	くむ	kumu
半日	はんじつ|はんにち	hannjitsu|hannnichi
多大	ただい	tadai
何気	なにげ	nanige
高台	たかだい	takadai
学長	がくちょう	gakuchou
谷川	たにがわ	tanigawa
半数	はんすう	hannsuu
南国	なんごく	nanngoku
晴天	せいてん	seitenn
行ない	おこない	okonai
北方	ほっぽう	hoppou
合金	ごうきん	goukinn
道のり	みちのり	michinori
土方	どかた	dokata
黒字	くろじ	kuroji
明かり	あかり	akari
細工	さいく|ざいく	saiku|zaiku
大家	おおや|たいか|たいけ	ooya|taika|taike
天地	てんち|あめつち	tennchi|ametsuchi
夜空	よぞら	yozora
地道	じみち	jimichi
行える	おこなえる	okonaeru
自家	じか	jika
算数	さんすう	sannsuu
昼休み	ひるやすみ	hiruyasumi
国王	こくおう	kokuou
草原	そうげん|くさはら	sougenn|kusahara
書記	しょき	shoki
強行	きょうこう	kyoukou
目前	もくぜん	mokuzenn
北口	きたぐち	kitaguchi
下地	したじ	shitaji
南口	みなみぐち	minamiguchi
赤色	あかいろ|せきしょく	akairo|sekishoku
一色	いっしょく	isshoku
食後	しょくご	shokugo
市中	しちゅう	shichuu
夏場	なつば	natsuba
番外	ばんがい	banngai
家内	かない|やうち	kanai|yauchi
力強い	ちからづよい	chikaraduyoi
手当て	てあて	teate
行き方	ゆきがた	yukigata
鳴る	なる	naru
山地	さんち	sannchi
古川	ふるかわ	furukawa
時空	じくう	jikuu
内心	ないしん	naishinn
山内	さんない	sannnai
南東	なんとう	nanntou
内野	ないや	naiya
田園	でんえん	dennenn
中原	ちゅうげん	chuugenn
王道	おうどう	oudou
風船	ふうせん	fuusenn
直売	ちょくばい	chokubai
国体	こくたい	kokutai
食用	しょくよう	shokuyou
今さら	いまさら	imasara
鳴き声	なきごえ	nakigoe
直通	ちょくつう	chokutsuu
出馬	しゅつば	shutsuba
分科	ぶんか	bunnka
父さん	とうさん	tousann
手形	てがた	tegata
用水	ようすい	yousui
活かす	いかす	ikasu
足場	あしば	ashiba
名門	めいもん	meimonn
点目	てんめ	tennme
大雪	おおゆき|たいせつ	ooyuki|taisetsu
口元	くちもと	kuchimoto
白黒	しろくろ	shirokuro
行き先	いきさき|ゆきさき	ikisaki|yukisaki
水色	みずいろ|すいしょく	mizuiro|suishoku
夜行	やこう	yakou
水曜	すいよう	suiyou
天体	てんたい	tenntai
作目	さくもく	sakumoku
木工	もっこう|もく	mokkou|moku
母校	ぼこう	bokou
人当たり	ひとあたり	hitoatari
新入	しんにゅう	shinnnyuu
合コン	ごうこん	goukonn
作画	さくが	sakuga
多用	たよう	tayou
見分け	みわけ	miwake
園内	えんない	ennnai
国外	こくがい	kokugai
思い切り	おもいきり	omoikiri
山野	さんや	sannya
思いつき	おもいつき	omoitsuki
生後	せいご	seigo
作り出し	つくりだし	tsukuridashi
山行	さんこう	sannkou
鳴り	なり	nari
手話	しゅわ	shuwa
組立	くみたて	kumitate
今時	いまどき	imadoki
今一	いまいち	imaichi
四方	しほう|よも	shihou|yomo
近づき	ちかづき	chikaduki
長生き	ながいき	nagaiki
遠足	えんそく	ennsoku
半田	はんだ	hannda
新生	しんせい	shinnsei
やり直し	やりなおし	yarinaoshi
花園	はなぞの|かえん	hanazono|kaenn
地デジ	ちでじ	chideji
空母	くうぼ	kuubo
色気	いろけ	iroke
出走	しゅっそう	shussou
古今	こきん|ここん	kokinn|kokonn
南方	なんぽう	nannpou
理学	りがく	rigaku
谷口	たにぐち	taniguchi
合図	あいず	aizu
話せる	はなせる	hanaseru
丸ごと	まるごと	marugoto
日の丸	ひのまる	hinomaru
新春	しんしゅん	shinnshunn
大通り	おおどおり	oodoori
太もも	ふともも	futomomo
分かれる	わかれる	wakareru
明白	めいはく	meihaku
丸出し	まるだし	marudashi
南下	なんか	nannka
思い入れ	おもいいれ	omoiire
外野	がいや	gaiya
まとめ買い	まとめがい	matomegai
絵かき	えかき	ekaki
引き下げ	ひきさげ	hikisage
原画	げんが	gennga
同点	どうてん	doutenn
直近	ちょっきん	chokkinn
円形	えんけい	ennkei
聞ける	きける	kikeru
正午	しょうご	shougo
何百	なんびゃく	nannbyaku
里親	さとおや	satooya
朝一	あさいち	asaichi
売春	ばいしゅん	baishunn
車道	しゃどう	shadou
新米	しんまい	shinnmai
原文	げんぶん	gennbunn
同名	どうめい	doumei
馬車	ばしゃ	basha
木曜	もくよう	mokuyou
食べ歩き	たべあるき	tabearuki
電線	でんせん	dennsenn
場内	じょうない	jounai
ひと時	ひととき	hitotoki
活字	かつじ	katsuji
ただ今	ただいま	tadaima
引き分け	ひきわけ	hikiwake
村長	そんちょう|むらおさ	sonnchou|muraosa
数える	かぞえる	kazoeru
地場	じば	jiba
読み聞かせ	よみきかせ	yomikikase
何しろ	なにしろ	nanishiro
中西	ちゅうせい	chuusei
東名	とうめい	toumei
足首	あしくび	ashikubi
下方	かほう	kahou
強気	つよき	tsuyoki
岩場	いわば	iwaba
近場	ちかば	chikaba
思春	ししゅん	shishunn
引手	ひきて	hikite
顔色	かおいろ|がんしょく	kaoiro|gannshoku
頭上	ずじょう	zujou
中高年	ちゅうこうねん	chuukounenn
山歩き	やまあるき	yamaaruki
台本	だいほん	daihonn
生前	せいぜん	seizenn
一読	いちどく	ichidoku
風力	ふうりょく	fuuryoku
校内	こうない	kounai
日朝	にっちょう	nicchou
公明	こうめい	koumei
わが家	わがや	wagaya
見当	けんとう	kenntou
鳴く	なく	naku
白書	はくしょ	hakusho
光線	こうせん	kousenn
自生	じせい	jisei
組合せ	くみあわせ	kumiawase
冬場	ふゆば	fuyuba
口頭	こうとう	koutou
社交	しゃこう	shakou
心中	しんじゅう|しんちゅう	shinnjuu|shinnchuu
手引き	てびき	tebiki
年明け	としあけ|ねんあけ	toshiake|nennake
市町	しちょう	shichou
交番	こうばん	koubann
朝ごはん	あさごはん	asagohann
声かけ	こえかけ	koekake
文体	ぶんたい	bunntai
切り口	きりくち	kirikuchi
近道	ちかみち	chikamichi
茶道	さどう|ちゃどう	sadou|chadou
一線	いっせん	issenn
首長	しゅちょう	shuchou
前夜	ぜんや	zennya
