運転	うんてん	unntenn
幸せ	しあわせ	shiawase
野球	やきゅう	yakyuu
調べ	しらべ	shirabe
負け	まけ	make
銀行	ぎんこう	ginnkou
地球	ちきゅう	chikyuu
美味しい	おいしい	oishii
食品	しょくひん	shokuhinn
終わり	おわり	owari
発送	はっそう	hassou
遊び	あそび|すさび	asobi|susabi
仕方	しかた	shikata
物語	ものがたり	monogatari
祭り	まつり	matsuri
飲み	のみ	nomi
業者	ぎょうしゃ	gyousha
感じる	かんじる	kannjiru
鉄道	てつどう	tetsudou
起き	おき	oki
大事	おおごと|だいじ	oogoto|daiji
発言	はつげん	hatsugenn
美しい	うつくしい	utsukushii
気軽	きがる	kigaru
病気	びょうき	byouki
全員	ぜんいん	zenninn
発行	はっこう	hakkou
交流	こうりゅう	kouryuu
問合せ	といあわせ	toiawase
業界	ぎょうかい	gyoukai
買い物	かいもの	kaimono
人物	じんぶつ	jinnbutsu
同様	どうよう	douyou
文章	ぶんしょう	bunnshou
取り	とり|どり	tori|dori
調整	ちょうせい	chousei
感動	かんどう	kanndou
用品	ようひん	youhinn
反対	はんたい	hanntai
具体	ぐたい	gutai
高速	こうそく	kousoku
医院	いいん	iinn
社員	しゃいん	shainn
目指し	めざし	mezashi
受ける	うける	ukeru
自転車	じてんしゃ	jitennsha
住まい	すまい|ずまい	sumai|zumai
勝手	かって|がって	katte|gatte
安定	あんてい	anntei
飲ん	のん|やん	nonn|yann
送る	おくる	okuru
集め	あつめ	atsume
息子	むすこ	musuko
向上	こうじょう	koujou
植物	しょくぶつ	shokubutsu
安い	やすい|やしい	yasui|yashii
予算	よさん	yosann
相当	そうとう	soutou
次回	じかい	jikai
読者	どくしゃ	dokusha
平和	へいわ	heiwa
公式	こうしき	koushiki
路線	ろせん	rosenn
自動	じどう	jidou
丁目	ちょうめ	choume
方面	ほうめん	houmenn
農業	のうぎょう	nougyou
事前	じぜん	jizenn
出発	しゅっぱつ	shuppatsu
年代	ねんだい	nenndai
始まり	はじまり	hajimari
新着	しんちゃく	shinnchaku
出身	しゅっしん	shusshinn
整理	せいり	seiri
使える	つかえる	tsukaeru
首相	しゅしょう	shushou
旅館	りょかん	ryokann
近所	きんじょ	kinnjo
有り	あり	ari
強化	きょうか	kyouka
実行	じっこう	jikkou
他人	たにん|ひと|びと	taninn|hito|bito
使い方	つかいかた	tsukaikata
空港	くうこう	kuukou
子育て	こそだて	kosodate
集中	しゅうちゅう	shuuchuu
定期	ていき	teiki
生命	せいめい|いのち	seimei|inochi
配送	はいそう	haisou
始まる	はじまる	hajimaru
去年	こぞ|きょねん	kozo|kyonenn
主な	おもな	omona
登山	とざん	tozann
勝手に	かってに	katteni
目指す	めざす	mezasu
太陽	たいよう	taiyou
深い	ふかい|ぶかい	fukai|bukai
守る	まもる|もる	mamoru|moru
決して	けっして|けして	kesshite|keshite
都合	つごう	tsugou
始める	はじめる	hajimeru
始めて	はじめて	hajimete
次第	しだい	shidai
県内	けんない	kennnai
世代	せだい	sedai
仕様	しよう	shiyou
記者	きしゃ	kisha
表記	ひょうき	hyouki
勝ち	かち|がち	kachi|gachi
定める	さだめる	sadameru
高級	こうきゅう	koukyuu
運用	うんよう	unnyou
係る	かかわる|かかる	kakawaru|kakaru
取り組み	とりくみ	torikumi
車両	しゃりょう	sharyou
見事	みごと	migoto
回転	かいてん	kaitenn
調子	ちょうし|ぢょうし	choushi|dyoushi
返品	へんぴん	hennpinn
内部	ないぶ	naibu
進む	すすむ	susumu
商店	しょうてん	shoutenn
文庫	ぶんこ	bunnko
主に	おもに	omoni
列車	れっしゃ	ressha
代わり	かわり|がわり	kawari|gawari
化学	かがく|ばけがく	kagaku|bakegaku
取る	とる|どる	toru|doru
流し	ながし	nagashi
乗り	のり	nori
駅前	えきまえ	ekimae
理事	りじ	riji
表面	ひょうめん	hyoumenn
向かう	むかう	mukau
生物	せいぶつ|なまもの	seibutsu|namamono
助け	たすけ|すけ	tasuke|suke
部門	ぶもん	bumonn
長期	ちょうき	chouki
形式	けいしき	keishiki
待ち	まち	machi
工業	こうぎょう	kougyou
寒い	さむい|さぶい|さみい|さびい	samui|sabui|samii|sabii
出来事	できごと	dekigoto
返事	へんじ	hennji
終わる	おわる	owaru
落とし	おとし	otoshi
場面	ばめん	bamenn
飲食	いんしょく|おんじき	innshoku|onnjiki
世の中	よのなか	yononaka
代金	だいきん	daikinn
早速	さっそく	sassoku
育て	そだて	sodate
本部	ほんぶ	honnbu
苦手	にがて	nigate
主人	しゅじん	shujinn
方式	ほうしき	houshiki
勝負	しょうぶ|かちまけ	shoubu|kachimake
相場	そうば	souba
温度	おんど	onndo
所有	しょゆう	shoyuu
死ぬ	しぬ	shinu
思想	しそう	shisou
理想	りそう	risou
暑い	あつい|あちい	atsui|achii
中身	なかみ	nakami
同意	どうい	doui
医学	いがく	igaku
実家	じっか	jikka
進行	しんこう	shinnkou
投げ	なげ	nage
幸い	さいわい	saiwai
放題	ほうだい	houdai
起こし	おこし	okoshi
入荷	にゅうか	nyuuka
意外	いがい	igai
行事	ぎょうじ	gyouji
発電	はつでん	hatsudenn
動作	どうさ	dousa
漢字	かんじ	kannji
速度	そくど	sokudo
定め	さだめ	sadame
家具	かぐ	kagu
一定	いちじょう|いってい	ichijou|ittei
実感	じっかん	jikkann
集合	しゅうごう	shuugou
調べる	しらべる	shiraberu
化する	かする	kasuru
開き	あき|ひらき|びらき	aki|hiraki|biraki
出品	しゅっぴん	shuppinn
入院	にゅういん	nyuuinn
向こう	むこう	mukou
部品	ぶひん	buhinn
飲む	のむ	nomu
医者	いしゃ	isha
作者	さくしゃ	sakusha
知事	ちじ	chiji
打ち	うち|ぶち	uchi|buchi
両方	りょうほう	ryouhou
真実	しんじつ	shinnjitsu
仕上げ	しあげ	shiage
短い	みじかい	mijikai
重ね	かさね|がさね	kasane|gasane
荷物	にもつ	nimotsu
想い	おもい	omoi
出荷	しゅっか	shukka
部長	ぶちょう	buchou
屋根	やね	yane
開く	あく|ひらく	aku|hiraku
道具	どうぐ	dougu
地下鉄	ちかてつ	chikatetsu
海岸	うみぎし|かいがん	umigishi|kaigann
近代	きんだい	kinndai
本物	ほんもの	honnmono
外部	がいぶ	gaibu
体調	たいちょう	taichou
美人	びじん|めいれん	bijinn|meirenn
多様	たよう	tayou
着物	きもの	kimono
向き	むき	muki
両親	りょうしん	ryoushinn
役立つ	やくだつ	yakudatsu
実に	げに	geni
食べ物	たべもの	tabemono
気温	きおん	kionn
古代	こだい	kodai
受け入れ	うけいれ	ukeire
返し	かえし|がえし	kaeshi|gaeshi
平日	へいじつ	heijitsu
高等	こうとう	koutou
買取	かいとり	kaitori
有する	ゆうする	yuusuru
住む	すむ	sumu
具合	ぐあい|ぐわい	guai|guwai
重い	おもい	omoi
進化	しんか	shinnka
人事	じんじ|ひとごと	jinnji|hitogoto
実力	じつりょく	jitsuryoku
動く	うごく	ugoku
決勝	けっしょう	kesshou
進み	すすみ	susumi
世間	せけん	sekenn
役員	やくいん	yakuinn
仕方ない	しかたない	shikatanai
取り上げ	とりあげ	toriage
仕組み	しくみ	shikumi
高度	こうど	koudo
深夜	しんや	shinnya
向い	むい|むかい	mui|mukai
待つ	まつ	matsu
乗る	のる	noru
首都	しゅと	shuto
有る	ある	aru
調理	ちょうり	chouri
上部	じょうぶ	joubu
気味	きみ|ぎみ	kimi|gimi
味わい	あじわい	ajiwai
意思	いし	ishi
流れる	ながれる	nagareru
由来	ゆらい	yurai
物理	ぶつり	butsuri
投手	とうしゅ	toushu
次元	じげん	jigenn
身近	みじか	mijika
運命	うんめい	unnmei
発明	はつめい	hatsumei
正式	せいしき	seishiki
店員	てんいん	tenninn
向かい	むかい	mukai
天使	てんし	tennshi
起こる	おこる	okoru
公表	こうひょう	kouhyou
代理	だいり	dairi
表紙	ひょうし|びょうし	hyoushi|byoushi
体重	たいじゅう	taijuu
農家	のうか	nouka
植え	うえ	ue
登り	のぼり	nobori
全身	ぜんしん	zennshinn
会館	かいかん	kaikann
決める	きめる	kimeru
乗せ	のせ	nose
軽い	かるい|かりい	karui|karii
死に	しに|じに	shini|jini
悲しい	かなしい	kanashii
薬局	やっきょく	yakkyoku
教員	きょういん	kyouinn
予め	あらかじめ	arakajime
整形	せいけい	seikei
県立	けんりつ	kennritsu
発想	はっそう	hassou
小屋	こや|ごや|しょうおく	koya|goya|shouoku
開業	かいぎょう	kaigyou
南部	なんぶ	nannbu
開放	かいほう	kaihou
正面	せいめん|しょうめん	seimenn|shoumenn
進出	しんしゅつ	shinnshutsu
流行	りゅうこう|はやり|ばやり	ryuukou|hayari|bayari
決算	けっさん	kessann
守り	まもり|もり	mamori|mori
消し	けし	keshi
想定	そうてい	soutei
動向	どうこう	doukou
意図	いと	ito
商業	しょうぎょう	shougyou
作曲	さっきょく	sakkyoku
落ちる	おちる	ochiru
定番	ていばん	teibann
進学	しんがく	shinngaku
風味	ふうみ	fuumi
真ん中	まんなか	mannnaka
遊ぶ	あそぶ	asobu
学者	がくしゃ	gakusha
悪化	あっか	akka
決まり	きまり	kimari
進める	すすめる	susumeru
真面目	まじめ	majime
流通	りゅうつう|るずう	ryuutsuu|ruzuu
起動	きどう	kidou
主体	しゅたい	shutai
生き物	いきもの	ikimono
美し	うつくし	utsukushi
集会	しゅうかい	shuukai
短期	たんき	tannki
集まり	あつまり	atsumari
送り	おくり	okuri
消化	しょうか	shouka
手軽	てがる	tegaru
交代	こうたい	koutai
様式	ようしき	youshiki
表明	ひょうめい	hyoumei
全面	ぜんめん	zennmenn
目安	めやす	meyasu
早期	そうき	souki
電波	でんぱ	dennpa
休業	きゅうぎょう	kyuugyou
運行	うんこう	unnkou
問い合せ	といあわせ	toiawase
味方	みかた	mikata
乗車	じょうしゃ	jousha
代行	だいこう	daikou
学問	がくもん	gakumonn
小物	こもの	komono
強調	きょうちょう	kyouchou
学部	がくぶ	gakubu
合意	ごうい	goui
都内	とない	tonai
投入	とうにゅう	tounyuu
名物	めいぶつ	meibutsu
自主	じしゅ	jishu
暗い	くらい|ぐらい	kurai|gurai
和食	わしょく	washoku
石油	せきゆ	sekiyu
間取り	まどり	madori
勝つ	かつ|まさつ	katsu|masatsu
区間	くかん	kukann
区分	くぶん	kubunn
決意	けつい	ketsui
集まる	あつまる	atsumaru
気配	けはい|きはい	kehai|kihai
平気	へいき	heiki
根本	こんぼん|こんぽん|ねもと	konnbonn|konnponn|nemoto
体育	たいいく	taiiku
農薬	のうやく	nouyaku
幸福	こうふく	koufuku
客室	きゃくしつ	kyakushitsu
取り入れ	とりいれ	toriire
回路	かいろ	kairo
育てる	そだてる	sodateru
配合	はいごう	haigou
島根	しまね	shimane
予感	よかん	yokann
実用	じつよう	jitsuyou
合流	ごうりゅう	gouryuu
後期	こうき	kouki
商売	しょうばい	shoubai
実習	じっしゅう	jisshuu
この世	このよ	konoyo
主役	しゅやく	shuyaku
北部	ほくぶ	hokubu
庭園	ていえん	teienn
両手	りょうて|もろて	ryoute|morote
地面	じめん	jimenn
仕入れ	しいれれ|しいれ	shiirere|shiire
和風	わふう	wafuu
全力	ぜんりょく	zennryoku
西洋	せいよう	seiyou
一面	いちめん	ichimenn
目次	もくじ	mokuji
住人	じゅうにん	juuninn
起きる	おきる	okiru
行列	ぎょうれつ	gyouretsu
局長	きょくちょう	kyokuchou
打つ	うつ|ぶつ	utsu|butsu
角度	かくど	kakudo
都会	とかい	tokai
集落	しゅうらく	shuuraku
手配	てはい	tehai
指名	しめい	shimei
市区	しく	shiku
大根	だいこん|おおね	daikonn|oone
合宿	がっしゅく	gasshuku
起こす	おこす	okosu
名所	めいしょ|などころ	meisho|nadokoro
寺院	じいん	jiinn
強度	きょうど	kyoudo
感心	かんしん	kannshinn
着く	つく	tsuku
登る	のぼる	noboru
手帳	てちょう	techou
流石	さすが	sasuga
受注	じゅちゅう	juchuu
発注	はっちゅう	hacchuu
本屋	ほんや	honnya
暗号	あんごう	anngou
新品	しんぴん	shinnpinn
中部	ちゅうぶ	chuubu
起業	きぎょう	kigyou
落語	らくご	rakugo
取れる	とれる	toreru
動かす	うごかす	ugokasu
対立	たいりつ	tairitsu
開花	かいか	kaika
対決	たいけつ	taiketsu
中島	なかじま	nakajima
起こり	おこり	okori
落とす	おとす	otosu
定食	ていしょく	teishoku
橋本	はしもと	hashimoto
大宮	おおみや	oomiya
発足	ほっそく|はっそく	hossoku|hassoku
打ち合わせ	うちあわせ	uchiawase
大島	おおしま	ooshima
神話	しんわ	shinnwa
工具	こうぐ	kougu
活発	かっぱつ	kappatsu
反発	はんぱつ	hannpatsu
苦しい	くるしい|ぐるしい	kurushii|gurushii
大豆	だいず	daizu
整体	せいたい	seitai
定員	ていいん	teiinn
丁度	ちょうど	choudo
一品	いっぴん	ippinn
問い	とい	toi
開ける	あける|ひらける	akeru|hirakeru
重大	じゅうだい	juudai
表す	あらわす|ひょうす	arawasu|hyousu
取り出し	とりだし	toridashi
半島	はんとう	hanntou
地味	ちみ|じみ	chimi|jimi
登記	とうき	touki
速い	はやい|ばやい	hayai|bayai
身長	しんちょう	shinnchou
市区町村	しくちょうそん	shikuchousonn
役者	やくしゃ	yakusha
東洋	とうよう	touyou
先進	せんしん	sennshinn
全文	ぜんぶん	zennbunn
育ち	そだち	sodachi
部下	ぶか	buka
県道	けんどう	kenndou
着用	ちゃくよう	chakuyou
定着	ていちゃく	teichaku
当局	とうきょく	toukyoku
返答	へんとう	henntou
平野	へいや	heiya
平安	へいあん	heiann
何事	なにごと	nanigoto
決まる	きまる	kimaru
返す	かえす	kaesu
負荷	ふか	fuka
洋服	ようふく	youfuku
階級	かいきゅう	kaikyuu
水着	みずぎ	mizugi
仕立て	したて|じたて	shitate|jitate
部員	ぶいん	buinn
開店	かいてん	kaitenn
転送	てんそう	tennsou
海洋	かいよう	kaiyou
進歩	しんぽ	shinnpo
前向き	まえむき	maemuki
同期	どうき	douki
発音	はつおん	hatsuonn
負ける	まける	makeru
真っ赤	まっか	makka
発動	はつどう	hatsudou
仕上がり	しあがり	shiagari
世話	せわ|ぜわ	sewa|zewa
院長	いんちょう	innchou
下着	したぎ	shitagi
子宮	しきゅう	shikyuu
飲み物	のみもの	nomimono
都心	としん	toshinn
物流	ぶつりゅう	butsuryuu
一族	いちぞく	ichizoku
生息	せいそく	seisoku
上品	じょうぼん|じょうひん	joubonn|jouhinn
大橋	おおはし	oohashi
死体	したい	shitai
運送	うんそう	unnsou
重さ	おもさ	omosa
一流	いちりゅう	ichiryuu
金持ち	かねもち|がねもち	kanemochi|ganemochi
温かい	あたたかい	atatakai
駅名	えきめい	ekimei
学院	がくいん	gakuinn
集計	しゅうけい	shuukei
内定	ないてい	naitei
対話	たいわ	taiwa
流出	りゅうしゅつ	ryuushutsu
筆者	ひっしゃ	hissha
西部	せいぶ	seibu
上流	じょうりゅう	jouryuu
部会	ぶかい	bukai
行使	こうし	koushi
楽曲	がっきょく	gakkyoku
体感	たいかん	taikann
進路	しんろ	shinnro
記号	きごう	kigou
他社	たしゃ	tasha
神田	しんでん	shinndenn
店主	てんしゅ	tennshu
農園	のうえん	nouenn
消える	きえる	kieru
運び	はこび	hakobi
身分	みぶん	mibunn
食感	しょっかん	shokkann
通路	つうろ|かよいじ	tsuuro|kayoiji
両者	りょうしゃ	ryousha
急速	きゅうそく	kyuusoku
美味い	うまい	umai
受け取り	うけとり	uketori
出血	しゅっけつ|でち	shukketsu|dechi
下落	げらく	geraku
調和	ちょうわ	chouwa
有力	ゆうりょく	yuuryoku
指し	さし|ざし	sashi|zashi
電化	でんか	dennka
緑色	みどりいろ|りょくしょく	midoriiro|ryokushoku
調味	ちょうみ	choumi
女神	めがみ|じょしん|にょしん	megami|joshinn|nyoshinn
学級	がっきゅう	gakkyuu
勝てる	かてる	kateru
打ち上げ	うちあげ|ぶちあげ	uchiage|buchiage
中世	ちゅうせい	chuusei
死者	ししゃ	shisha
心身	しんしん	shinnshinn
指数	しすう	shisuu
商工	しょうこう	shoukou
線路	せんろ	sennro
会談	かいだん	kaidann
前期	ぜんき	zennki
物事	ものごと	monogoto
上級	じょうきゅう	joukyuu
先発	せんぱつ	sennpatsu
配当	はいとう	haitou
直送	ちょくそう	chokusou
和室	わしつ	washitsu
家事	かじ	kaji
流す	ながす	nagasu
定休	ていきゅう	teikyuu
万全	ばんぜん	bannzenn
部活	ぶかつ	bukatsu
問う	とう	tou
図面	ずめん	zumenn
後者	こうしゃ	kousha
開通	かいつう	kaitsuu
水面	すいめん|みなも|みのも	suimenn|minamo|minomo
代引き	だいびき	daibiki
食物	くいもの|しょくもつ	kuimono|shokumotsu
東部	とうぶ	toubu
集める	あつめる	atsumeru
球場	きゅうじょう	kyuujou
農村	のうそん	nousonn
口調	くちょう	kuchou
真相	しんそう	shinnsou
美味	びみ|うま	bimi|uma
天神	てんしん|てんじん	tennshinn|tennjinn
意向	いこう	ikou
館内	かんない	kannnai
台所	だいどころ	daidokoro
カ所	かしょ	kasho
礼金	れいきん	reikinn
写し	うつし	utsushi
高温	こうおん	kouonn
漢方	かんぽう	kannpou
相対	あいたい|そうたい	aitai|soutai
屋外	おくがい	okugai
屋台	やたい	yatai
実物	じつぶつ|みもの	jitsubutsu|mimono
真理	しんり	shinnri
指す	さす	sasu
運ぶ	はこぶ	hakobu
区画	くかく	kukaku
平等	びょうどう	byoudou
転用	てんよう	tennyou
所持	しょじ	shoji
電動	でんどう	denndou
服用	ふくよう	fukuyou
屋上	おくじょう	okujou
急行	きゅうこう	kyuukou
用事	ようじ	youji
味わう	あじわう	ajiwau
美女	びじょ	bijo
同等	どうとう	doutou
飲み会	のみかい	nomikai
登校	とうこう	toukou
追う	おう	ou
文部	もんぶ	monnbu
追記	ついき	tsuiki
宿題	しゅくだい	shukudai
水平	すいへい	suihei
当院	とういん	touinn
鉄板	てっぱん	teppann
大物	おおもの	oomono
持ち主	もちぬし	mochinushi
対談	たいだん	taidann
日和	ひより|びより	hiyori|biyori
問屋	といや|とんや|どいや|どんや	toiya|tonnya|doiya|donnya
使命	しめい	shimei
前進	ぜんしん	zennshinn
持ち帰り	もちかえり	mochikaeri
役所	やくしょ|やくどころ	yakusho|yakudokoro
去る	さる	saru
着る	きる	kiru
重点	じゅうてん	juutenn
所定	しょてい	shotei
原油	げんゆ	gennyu
放出	ほうしゅつ	houshutsu
助手	じょしゅ	joshu
農林	のうりん	nourinn
飲酒	いんしゅ|おんじゅ	innshu|onnju
申し出	もうしで	moushide
詩人	しじん	shijinn
薬物	やくぶつ	yakubutsu
題名	だいめい	daimei
路面	ろめん	romenn
真っ白	まっしろ	masshiro
農地	のうち	nouchi
電流	でんりゅう	dennryuu
路上	ろじょう	rojou
他者	たしゃ	tasha
安打	あんだ	annda
悲鳴	ひめい	himei
先物	さきもの	sakimono
算定	さんてい	sanntei
定年	ていねん	teinenn
下部	かぶ	kabu
幸運	こううん	kouunn
中期	ちゅうき	chuuki
家屋	かおく	kaoku
両国	りょうこく	ryoukoku
葉っぱ	はっぱ	happa
真夏	まなつ	manatsu
うつ病	うつびょう	utsubyou
主流	しゅりゅう	shuryuu
神宮	じんぐう	jinnguu
化合	かごう	kagou
落ち着き	おちつき	ochitsuki
主力	しゅりょく	shuryoku
悪口	わるぐち|あっこう|わるくち	waruguchi|akkou|warukuchi
商人	しょうにん|あきんど|あきゅうど	shouninn|akinndo|akyuudo
配線	はいせん	haisenn
毎度	まいど	maido
書面	しょめん	shomenn
大使	たいし	taishi
所長	しょちょう	shochou
急ぎ	いそぎ	isogi
やり取り	やりとり	yaritori
役場	やくば	yakuba
有用	ゆうよう	yuuyou
乗客	じょうきゃく	joukyaku
買物	かいもの	kaimono
配列	はいれつ	hairetsu
返金	へんきん	hennkinn
学期	がっき	gakki
人員	じんいん	jinninn
速やか	すみやか	sumiyaka
親族	しんぞく	shinnzoku
曲げ	まげ	mage
神楽	かぐら	kagura
習い事	ならいごと	naraigoto
命名	めいめい	meimei
島田	しまだ	shimada
消す	けす	kesu
路地	ろじ	roji
配分	はいぶん	haibunn
ため息	ためいき	tameiki
茶屋	じゃや|ちゃや	jaya|chaya
前面	ぜんめん	zennmenn
名曲	めいきょく	meikyoku
陽気	ようき	youki
反日	はんにち	hannnichi
電鉄	でんてつ	denntetsu
次男	じなん	jinann
落下	らっか	rakka
助ける	たすける|すける	tasukeru|sukeru
役目	やくめ	yakume
言動	げんどう	genndou
育つ	そだつ	sodatsu
小島	こじま	kojima
水泳	すいえい	suiei
列島	れっとう	rettou
向ける	むける	mukeru
新曲	しんきょく	shinnkyoku
原発	げんぱつ	gennpatsu
取り消し	とりけし	torikeshi
放つ	はなつ	hanatsu
体温	たいおん	taionn
反する	はんする	hannsuru
化石	かせき	kaseki
部落	ぶらく	buraku
味わえる	あじわえる	ajiwaeru
出題	しゅつだい	shutsudai
投下	とうか	touka
全集	ぜんしゅう	zennshuu
指先	ゆびさき	yubisaki
洋食	ようしょく	youshoku
待ち合わせ	まちあわせ	machiawase
両面	りょうめん	ryoumenn
着手	ちゃくしゅ	chakushu
負う	おう	ou
下流	かりゅう	karyuu
港区	こうく	kouku
助言	じょげん|じょごん	jogenn|jogonn
当面	とうめん	toumenn
多発	たはつ	tahatsu
集い	すだい|つどい	sudai|tsudoi
全開	ぜんかい	zennkai
両立	りょうりつ	ryouritsu
前者	ぜんしゃ	zennsha
炭火	すみび	sumibi
生育	せいいく	seiiku
船橋	せんきょう|ふなばし	sennkyou|funabashi
気持	きもち	kimochi
何者	なにもの	nanimono
頭部	とうぶ	toubu
身内	みうち|しんない	miuchi|shinnnai
物体	ぶったい	buttai
地酒	じざけ	jizake
早起き	はやおき	hayaoki
取組	とりくみ	torikumi
音波	おんぱ	onnpa
注入	ちゅうにゅう	chuunyuu
反面	はんめん	hannmenn
遊べる	あそべる	asoberu
決着	けっちゃく	kecchaku
対面	たいめん|だいめん	taimenn|daimenn
公平	こうへい	kouhei
入所	にゅうしょ	nyuusho
物品	ぶっぴん	buppinn
相方	あいかた	aikata
起用	きよう	kiyou
真空	しんくう	shinnkuu
感度	かんど	kanndo
問合わせ	といあわせ	toiawase
拾い	ひろい	hiroi
次期	じき	jiki
乗り物	のりもの	norimono
曲目	きょくもく	kyokumoku
期日	きじつ	kijitsu
死去	しきょ	shikyo
役人	やくにん	yakuninn
遊園	ゆうえん	yuuenn
見物	けんぶつ|みもの	kennbutsu|mimono
手持ち	てもち	temochi
事由	じゆう	jiyuu
日向	ひなた	hinata
終点	しゅうてん	shuutenn
王者	おうじゃ|おうしゃ	ouja|ousha
一員	いちいん	ichiinn
開会	かいかい	kaikai
青葉	あおば	aoba
お守り	おまもり	omamori
作物	さくぶつ|さくもつ	sakubutsu|sakumotsu
先着	せんちゃく	sennchaku
集客	しゅうきゃく	shuukyaku
持てる	もてる	moteru
通院	つういん	tsuuinn
用具	ようぐ	yougu
流動	りゅうどう	ryuudou
全角	ぜんかく	zennkaku
農場	のうじょう	noujou
顔面	がんめん	gannmenn
調教	ちょうきょう	choukyou
重ねる	かさねる	kasaneru
平面	へいめん	heimenn
平行	へいこう	heikou
新緑	しんりょく	shinnryoku
打者	だしゃ	dasha
転落	てんらく	tennraku
真田	さなだ	sanada
持たせ	もたせ	motase
作動	さどう	sadou
死後	しご	shigo
火事	かじ	kaji
化け	ばけ	bake
図表	ずひょう	zuhyou
千代	せんだい|ちよ	senndai|chiyo
終始	しゅうし	shuushi
命中	めいちゅう	meichuu
仕分け	しわけ	shiwake
早急	さっきゅう|そうきゅう	sakkyuu|soukyuu
旅人	たびびと|たびにん|りょじん	tabibito|tabininn|ryojinn
虫歯	むしば	mushiba
使い勝手	つかいがって	tsukaigatte
薬品	やくひん	yakuhinn
入れ歯	いれば	ireba
品目	ひんもく	hinnmoku
筆頭	ひっとう|ふでがしら	hittou|fudegashira
商社	しょうしゃ	shousha
飲める	のめる	nomeru
投げる	なげる	nageru
見送り	みおくり	miokuri
品切れ	しなぎれ	shinagire
短大	たんだい	tanndai
夏祭り	なつまつり	natsumatsuri
本館	ほんかん	honnkann
県外	けんがい	kenngai
皮肉	ひにく	hiniku
着実	ちゃくじつ	chakujitsu
今期	こんき	konnki
一息	ひといき	hitoiki
和紙	わし	washi
和牛	わぎゅう	wagyuu
陽子	ようし	youshi
羽根	はね|ばね	hane|bane
他国	たこく	takoku
直面	ちょくめん	chokumenn
意地	いじ	iji
手打ち	てうち	teuchi
定数	ていすう	teisuu
内面	ないめん|うちづら	naimenn|uchidura
童話	どうわ	douwa
実名	じつめい|じつみょう	jitsumei|jitsumyou
年次	ねんじ	nennji
分配	ぶんぱい	bunnpai
波動	はどう	hadou
水路	すいろ	suiro
真っ直ぐ	まっすぐ	massugu
暗黒	あんこく	annkoku
区内	くない	kunai
文具	ぶんぐ	bunngu
