嬉しい	うれしい	ureshii
柚子	ゆず	yuzu
常磐	ときわ	tokiwa
溜息	ためいき	tameiki
覗く	のぞく	nozoku
葡萄	ぶどう|えび	budou|ebi
牡丹	ぼたん|ぼた	botann|bota
竣工	しゅんこう	shunnkou
爺さん	じいさん	jiisann
漏洩	ろうえい|ろうせつ	rouei|rousetsu
揃う	そろう	sorou
卑怯	ひきょう	hikyou
銚子	ちょうし	choushi
骨董	こっとう	kottou
喋る	しゃべる	shaberu
莫大	ばくだい	bakudai
叶う	かなう|かのう	kanau|kanou
出逢い	であい	deai
所謂	しょい|いわゆる	shoi|iwayuru
分娩	ぶんべん	bunnbenn
祈祷	きとう|ぎとう	kitou|gitou
衣裳	いしょう	ishou
充填	じゅうてん	juutenn
噛む	かむ	kamu
掴む	つかむ	tsukamu
繋ぐ	つなぐ	tsunagu
撒き	まき	maki
椎茸	しいたけ	shiitake
胡麻	ごま	goma
銀杏	いちょう|ぎんなん	ichou|ginnnann
綴り	つづり	tsuduri
捧げる	ささげる	sasageru
啓蒙	けいもう	keimou
猪木	ちょき	choki
混沌	こんとん	konntonn
或る	ある	aru
煽る	あおる|あうる	aoru|auru
隼人	はやと	hayato
吾妻	あずま	azuma
冴え	さえ	sae
迂回	うかい	ukai
於ける	おける	okeru
痴呆	ちほう	chihou
橋梁	きょうりょう	kyouryou
脆弱	ぜいじゃく	zeijaku
繋ぎ	つなぎ	tsunagi
佃煮	つくだに	tsukudani
怯え	おびえ	obie
金儲け	かねもうけ	kanemouke
剥離	はくり	hakuri
傭兵	ようへい	youhei
阿呆	あほ|あほう|あほん	aho|ahou|ahonn
晒す	さらす	sarasu
楕円	だえん	daenn
勿体	もったい	mottai
明智	めいち	meichi
其れ	それ	sore
蔓延	まんえん	mannenn
嘘つき	うそつき	usotsuki
淋しい	さびしい|さみしい	sabishii|samishii
蝦夷	えみし	emishi
夜叉	やしゃ	yasha
菖蒲	あやめ|しょうぶ	ayame|shoubu
蘇生	そせい	sosei
這い	はい	hai
云ふ	ゆふ	yufu
編纂	へんさん	hennsann
黄昏	たそがれ	tasogare
錆び	さび	sabi
幼馴染	おさななじみ	osananajimi
儲ける	もうける	moukeru
新撰	しんせん	shinnsenn
唖然	あぜん	azenn
湿疹	しっしん	shisshinn
漕ぎ	こぎ	kogi
厩舎	きゅうしゃ	kyuusha
斡旋	あっせん	assenn
凱旋	がいせん	gaisenn
挽き	ひき|びき	hiki|biki
珊瑚	さんご	sanngo
怒涛	どとう	dotou
牽制	けんせい	kennsei
纏め	まとめ	matome
揃える	そろえる	soroeru
叶える	かなえる	kanaeru
淘汰	とうた	touta
辿る	たどる	tadoru
呆然	ぼうぜん	bouzenn
溜まり	たまり|だまり	tamari|damari
同棲	どうせい	dousei
清楚	せいそ	seiso
其処	そこ	soko
此方	こちら|こなた	kochira|konata
螺旋	らせん	rasenn
微塵	みじん	mijinn
呑む	のむ	nomu
龍神	りゅうじん	ryuujinn
閃光	せんこう	sennkou
或は	あるいわ	aruiwa
松茸	まつたけ	matsutake
白樺	しらかば	shirakaba
抜擢	ばってき	batteki
鵜呑み	うのみ	unomi
溜まる	たまる	tamaru
杜氏	とうじ|とじ	touji|toji
大袈裟	おおげさ	oogesa
牝馬	ひんば	hinnba
掻き	かき|がき	kaki|gaki
舞妓	まいこ|ぶぎ	maiko|bugi
蓮華	れんげ	rennge
伝播	でんぱ|でんぱん	dennpa|dennpann
桔梗	ききょう|ぎきょう	kikyou|gikyou
釘付け	くぎづけ	kugiduke
鯉のぼり	こいのぼり	koinobori
玉葱	たまねぎ	tamanegi
勢揃い	せいぞろい	seizoroi
只中	ただなか	tadanaka
天秤	てんびん	tennbinn
煉瓦	れんが	rennga
蘇る	よみがえる	yomigaeru
投函	とうかん	toukann
輪廻	りんえ|りんね	rinne|rinnne
皐月	さつき	satsuki
瀕死	ひんし	hinnshi
糞スレ	くそすれ	kusosure
辰巳	たつみ	tatsumi
大腿	だいたい	daitai
柴犬	しばいぬ|しばけん	shibainu|shibakenn
賑わう	にぎわう	nigiwau
埠頭	ふとう	futou
兎に角	とにかく	tonikaku
朱雀	すざく	suzaku
蒼い	あおい	aoi
手帖	てちょう	techou
叢書	そうしょ	sousho
位牌	いはい	ihai
喧騒	けんそう	kennsou
伊吹	いぶき	ibuki
剥奪	はくだつ	hakudatsu
禿げ	はげ	hage
片栗粉	かたくりこ	katakuriko
智恵	じえ|ちえ	jie|chie
暖簾	のれん	norenn
馴れ合い	なれあい	nareai
喰う	くう	kuu
鰹節	かつおぶし	katsuobushi
晩餐	ばんさん	bannsann
顛末	てんまつ	tennmatsu
御苑	ぎょえん	gyoenn
金箔	きんぱく	kinnpaku
尤も	もっとも	mottomo
胡蝶	こちょう	kochou
智慧	じえ|ちえ	jie|chie
発疹	ほっしん|はっしん	hosshinn|hasshinn
朝霞	あさがすみ	asagasumi
お喋り	おしゃべり	oshaberi
琵琶	びわ	biwa
廻る	めぐる|まわる	meguru|mawaru
焚き火	たきび	takibi
牡馬	おうま|ぼば	ouma|boba
凌駕	りょうが	ryouga
此れ	これ	kore
貫禄	かんろく	kannroku
砥石	といし	toishi
廻し	まわし	mawashi
諜報	ちょうほう	chouhou
灼熱	しゃくねつ	shakunetsu
狭窄	きょうさく	kyousaku
梯子	はしご|ばしご	hashigo|bashigo
蓬莱	ほうらい	hourai
末梢	まっしょう	masshou
汲み	くみ	kumi
柑橘	かんきつ	kannkitsu
播種	はしゅ	hashu
呆れる	あきれる	akireru
草薙	くさなぎ	kusanagi
甥っ子	おいっこ	oikko
石膏	せっこう	sekkou
鞍馬	あんば	annba
偲ぶ	しのぶ	shinobu
狛犬	こまいぬ	komainu
剃り	そり|すり|ぞり	sori|suri|zori
歪曲	わいきょく	waikyoku
棲む	すむ	sumu
雲雀	ひばり	hibari
漆喰	しっくい	shikkui
娼婦	しょうふ	shoufu
醍醐	だいご	daigo
濡れる	ぬれる	nureru
撫でる	なでる	naderu
お雛様	おひなさま	ohinasama
軟膏	なんこう	nannkou
堰堤	えんてい	enntei
流暢	りゅうちょう	ryuuchou
逢う	あう|おう	au|ou
真鯛	まだい	madai
吊り上げ	つりあげ	tsuriage
伽藍	がらん	garann
鼻腔	びくう|びこう	bikuu|bikou
杏仁	きょうにん|あんにん	kyouninn|annninn
圃場	ほじょう	hojou
大洲	おおす	oosu
訊く	きく	kiku
箪笥	たんす|だんす	tannsu|dannsu
芳醇	ほうじゅん	houjunn
吠える	ほえる	hoeru
蒲鉾	かまぼこ	kamaboko
強靭	きょうじん	kyoujinn
太閤	たいこう	taikou
挽回	ばんかい	bannkai
蝋燭	ろうそく	rousoku
中洲	なかす	nakasu
溜め息	ためいき	tameiki
腹腔	ふっくう|ふっこう	fukkuu|fukkou
喰らう	くらう	kurau
吊るし	つるし	tsurushi
蒔絵	まきえ	makie
棟梁	とうりょう	touryou
肋骨	あばらぼね|ろっこつ	abarabone|rokkotsu
蜜柑	みかん	mikann
庄屋	しょうや	shouya
円錐	えんすい	ennsui
殆んど	ほとんど	hotonndo
補填	ほてん	hotenn
乳癌	にゅうがん	nyuugann
乃至	ないし	naishi
烏賊	いか	ika
倦怠	けんたい	kenntai
向日葵	ひまわり	himawari
田圃	たんぼ	tannbo
飛沫	ひまつ|しぶき	himatsu|shibuki
僻地	へきち	hekichi
恰好	かっこう|かっこ	kakkou|kakko
哨戒	しょうかい	shoukai
剥き出し	むきだし	mukidashi
轟音	ごうおん	gouonn
花菖蒲	はなあやめ	hanaayame
醗酵	はっこう	hakkou
蒼天	そうてん	soutenn
俄然	がぜん	gazenn
坐禅	ざぜん	zazenn
曳き	ひき|びき	hiki|biki
吾輩	わがはい	wagahai
捺印	なついん	natsuinn
遠吠え	とおぼえ	tooboe
仏陀	ぶつだ	butsuda
繋げる	つなげる	tsunageru
撒く	まく	maku
億劫	おっくう	okkuu
稀少	きしょう	kishou
溜り	たまり|だまり	tamari|damari
人狼	じんろう	jinnrou
胡瓜	きゅうり	kyuuri
爺ちゃん	じいちゃん	jiichann
紫苑	しおん|じおん	shionn|jionn
琢磨	たくま	takuma
短篇	たんぺん	tannpenn
孔雀	くじゃく	kujaku
綴じ	とじ	toji
弛緩	しかん|ちかん	shikann|chikann
杏子	あんず	annzu
逢える	あえる	aeru
頚椎	けいつい	keitsui
坐骨	ざこつ	zakotsu
馴れ	なれ	nare
煤け	すすけ	susuke
凌ぐ	しのぐ	shinogu
華僑	かきょう	kakyou
睡蓮	すいれん	suirenn
味噌汁	みそしる	misoshiru
口蹄疫	こうていえき	kouteieki
醍醐味	だいごみ	daigomi
蕎麦屋	そばや	sobaya
蛋白質	たんぱくしつ	tannpakushitsu
獅子舞	ししまい	shishimai
雛人形	ひなにんぎょう	hinaninngyou
水俣病	みなまたびょう	minamatabyou
脆弱性	ぜいじゃくせい	zeijakusei
今迄	いままで	imamade
仔犬	こいぬ	koinu
無垢材	むくざい	mukuzai
