紹介	しょうかい	shoukai
瞬間	しゅんかん	shunnkann
驚く	おどろく	odoroku
地震	じしん	jishinn
高齢	こうれい	kourei
転載	てんさい	tennsai
維持	いじ	iji
抜ける	ぬける	nukeru
先輩	せんぱい	sennpai
忙しい	いそがしい|せわしい	isogashii|sewashii
引越し	ひっこし	hikkoshi
突然	とつぜん	totsuzenn
渡る	わたる	wataru
隠す	かくす	kakusu
違反	いはん	ihann
迷惑	めいわく	meiwaku
甘い	あまい|うまい	amai|umai
咲く	さく|ざく	saku|zaku
越える	こえる|ごえる	koeru|goeru
珍しい	めずらしい	mezurashii
扱い	あつかい|こい|しごい	atsukai|koi|shigoi
継続	けいぞく	keizoku
悩む	なやむ	nayamu
戦闘	せんとう	senntou
避ける	さける|よける	sakeru|yokeru
恋愛	れんあい	rennai
間違う	まちがう|まちごう	machigau|machigou
遅れ	おくれ	okure
自慢	じまん	jimann
微妙	びみょう	bimyou
獲得	かくとく	kakutoku
歓迎	かんげい	kanngei
抱く	いだく|だく	idaku|daku
傾向	けいこう	keikou
破壊	はかい	hakai
お互い	おたがい	otagai
扱う	あつかう|あつこう	atsukau|atsukou
載る	のる	noru
怒る	いかる|おこる	ikaru|okoru
書き込む	かきこむ	kakikomu
薄い	うすい|うしい	usui|ushii
恥ずかしい	はずかしい	hazukashii
逃げ	にげ	nige
触れ	ふれ|さわれ|ぶれ	fure|saware|bure
抜く	ぬく	nuku
狭い	せまい	semai
皮膚	ひふ	hifu
名称	めいしょう	meishou
替える	かえる|がえる	kaeru|gaeru
吹く	ふく|ぶく	fuku|buku
込み	こみ|ごみ	komi|gomi
療法	りょうほう	ryouhou
乾燥	かんそう	kannsou
新鮮	しんせん	shinnsenn
巨大	きょだい	kyodai
一瞬	いっしゅん	isshunn
眠る	ねむる|ねる|ねぶる	nemuru|neru|neburu
申込	もうしこみ|もうしこめ	moushikomi|moushikome
抵抗	ていこう	teikou
汚れ	けがれ|よごれ|けがれれ	kegare|yogore|kegarere
驚き	おどろき|きょうき	odoroki|kyouki
箇所	かしょ	kasho
寂しい	さびしい|さみしい	sabishii|samishii
結婚式	けっこんしき	kekkonnshiki
頼る	たよる	tayoru
売却	ばいきゃく	baikyaku
制御	せいぎょ	seigyo
巡る	めぐる	meguru
証拠	しょうこ	shouko
刺激	しげき	shigeki
振る	ふる|ぶる	furu|buru
お菓子	おかし	okashi
普及	ふきゅう	fukyuu
迫る	せまる|せる	semaru|seru
載せる	のせる	noseru
連載	れんさい	rennsai
一致	いっち	icchi
幅広い	はばひろい	habahiroi
面倒	めんどう|めんど	menndou|menndo
贈る	おくる	okuru
倒す	たおす	taosu
大幅	おおはば	oohaba
間違える	まちがえる	machigaeru
振り	ふり|ぶり|ぷり	furi|buri|puri
占い	うらない	uranai
取扱い	とりあつかい	toriatsukai
拠点	きょてん	kyotenn
解釈	かいしゃく	kaishaku
込める	こめる|ごめる	komeru|gomeru
振り返る	ふりかえる	furikaeru
お疲れ様	おつかれさま	otsukaresama
比較的	ひかくてき	hikakuteki
我慢	がまん	gamann
怒り	いかり|おこり	ikari|okori
考慮	こうりょ	kouryo
寝る	ねる|しずまる|ぬる	neru|shizumaru|nuru
用途	ようと	youto
倒れる	たおれる|だおれる	taoreru|daoreru
壊れる	こわれる	kowareru
越す	こす	kosu
恋人	こいびと	koibito
配慮	はいりょ	hairyo
訴え	うったえ	uttae
支払	しはらい|しはらえ	shiharai|shiharae
輝く	かがやく	kagayaku
込む	こむ|ごむ	komu|gomu
濃い	こい	koi
踊り	おどり	odori
飾る	かざる	kazaru
回避	かいひ	kaihi
踊る	おどる	odoru
透明	とうめい	toumei
踏む	ふむ|ぶむ	fumu|bumu
抱え	かかえ	kakae
襲う	おそう	osou
別途	べっと	betto
恐れ	おそれ|おそれれ	osore|osorere
荒らす	あらす	arasu
爆発	ばくはつ	bakuhatsu
振込	ふりこみ	furikomi
抜き	ぬき	nuki
弾く	はじく|ひく|びく	hajiku|hiku|biku
需要	じゅよう	juyou
渡し	わたし	watashi
頼む	たのむ	tanomu
恐怖	きょうふ	kyoufu
執行	しっこう|とりおこなえ	shikkou|toriokonae
信仰	しんこう	shinnkou
叫ぶ	さけぶ	sakebu
被告	ひこく	hikoku
脂肪	しぼう	shibou
攻略	こうりゃく	kouryaku
根拠	こんきょ	konnkyo
絡む	からむ	karamu
遺跡	いせき	iseki
全般	ぜんぱん	zennpann
離婚	りこん	rikonn
恐ろしい	おそろしい	osoroshii
給与	きゅうよ	kyuuyo
冒険	ぼうけん	boukenn
隠れ	かくれ|こもれ|かくれれ|がくれ	kakure|komore|kakurere|gakure
監視	かんし	kannshi
優秀	ゆうしゅう	yuushuu
及ぶ	およぶ	oyobu
伺い	うかがい	ukagai
占める	しめる|じめる	shimeru|jimeru
攻め	せめ|ぜめ	seme|zeme
臨床	りんしょう	rinnshou
取扱	とりあつかい|とりあつかえ	toriatsukai|toriatsukae
柔らかい	やわらかい	yawarakai
耐え	たえ	tae
誇る	ほこる	hokoru
恵まれる	めぐまれる	megumareru
基盤	きばん	kibann
吐く	はく|つく	haku|tsuku
申込む	もうしこむ	moushikomu
近隣	きんりん	kinnrinn
黙る	だまる	damaru
圧倒的	あっとうてき	attouteki
依存	いぞん|いそん	izonn|isonn
添える	そえる|ぞえる	soeru|zoeru
抜群	ばつぐん	batsugunn
浮かぶ	うかぶ	ukabu
狩り	かり|がり	kari|gari
閉鎖	へいさ	heisa
飾り	かざり	kazari
援助	えんじょ	ennjo
支払う	しはらう|しはろう	shiharau|shiharou
違和感	いわかん	iwakann
執筆	しっぴつ	shippitsu
薬剤師	やくざいし	yakuzaishi
握る	にぎる	nigiru
奥さん	おくさん	okusann
監査	かんさ	kannsa
触る	さわる|ふる	sawaru|furu
鑑賞	かんしょう	kannshou
尽くす	つくす	tsukusu
掘る	ほる	horu
避難	ひなん	hinann
原稿	げんこう	gennkou
遠慮	えんりょ	ennryo
添加	てんか	tennka
壊す	こわす	kowasu
祈る	いのる	inoru
お越し	おこし	okoshi
取り扱う	とりあつかう|とりあつこう	toriatsukau|toriatsukou
咲き	さき|ざき	saki|zaki
奇跡	きせき	kiseki
名誉	めいよ	meiyo
分離	ぶんり	bunnri
突っ込む	つっこむ	tsukkomu
祈り	いのり	inori
御座る	ござる	gozaru
詰め	つめ|づめ	tsume|dume
汚染	おせん	osenn
禁煙	きんえん	kinnenn
象徴	しょうちょう	shoutyou
対抗	たいこう	taikou
尋ねる	たずねる	tazuneru
違法	いほう	ihou
為替	かわせ|がわせ	kawase|gawase
拍手	はくしゅ	hakushu
荒れる	あれる	areru
太鼓	たいこ|だいこ	taiko|daiko
彼氏	かれし	kareshi
踏まえる	ふまえる	fumaeru
突入	とつにゅう	totsunyuu
響く	ひびく	hibiku
休暇	きゅうか	kyuuka
及ぼす	およぼす	oyobosu
税込	ぜいこみ	zeikomi
抗議	こうぎ	kougi
響き	ひびき	hibiki
描写	びょうしゃ	byousha
先端	せんたん	senntann
巻き込む	まきこむ	makikomu
前項	ぜんこう	zennkou
経緯	いきさつ|けいい|たてぬき	ikisatsu|keii|tatenuki
泊まる	とまる	tomaru
慎重	しんちょう	shinntyou
汚い	きたない|ぎたない	kitanai|gitanai
渡す	わたす	watasu
接触	せっしょく	sesshoku
継承	けいしょう	keishou
添付	てんぷ	tennpu
被る	かぶる|こうむる|かむる	kaburu|koumuru|kamuru
趣旨	しゅし	shushi
切り替え	きりかえ	kirikae
鑑定	かんてい	kanntei
多彩	たさい	tasai
野郎	やろう	yarou
芝居	しばい	shibai
迫力	はくりょく	hakuryoku
鮮やか	あざやか	azayaka
撃つ	うつ|ぶつ	utsu|butsu
誇り	ほこり|ぼこり	hokori|bokori
詰まる	つまる|づまる	tsumaru|dumaru
疲労	ひろう	hirou
今更	いまさら	imasara
矛盾	むじゅん	mujunn
樹脂	じゅし	jushi
濃度	のうど	noudo
刺身	さしみ	sashimi
皆さま	みなさま	minasama
振動	しんどう	shinndou
騒ぐ	さわぐ	sawagu
侵害	しんがい	shinngai
お盆	おぼん	obonn
不況	ふきょう	fukyou
実況	じっきょう	jikkyou
引っ越し	ひっこし	hikkoshi
警戒	けいかい	keikai
恒例	こうれい	kourei
侵入	しんにゅう	shinnnyuu
徴収	ちょうしゅう	tyoushuu
旨い	うまい	umai
眠い	ねむい|ねみい	nemui|nemii
老舗	しにせ|ろうほ	shinise|rouho
隣接	りんせつ	rinnsetsu
後輩	こうはい	kouhai
仲介	ちゅうかい	tyuukai
触れる	ふれる|ぶれる|さわれる	fureru|bureru|sawareru
贈り物	おくりもの	okurimono
舞う	まう|もう	mau|mou
召し上がる	めしあがる	meshiagaru
脚本	きゃくほん	kyakuhonn
端末	たんまつ	tannmatsu
強烈	きょうれつ	kyouretsu
爆笑	ばくしょう	bakushou
極端	きょくたん	kyokutann
防御	ぼうぎょ	bougyo
逃げる	にげる	nigeru
脱ぐ	ぬぐ	nugu
浮かべる	うかべる	ukaberu
中旬	ちゅうじゅん	tyuujunn
頼り	たより|だより	tayori|dayori
冒頭	ぼうとう	boutou
伺う	うかがう|うかごう	ukagau|ukagou
輝き	かがやき	kagayaki
曇る	くもる	kumoru
称す	しょうす	shousu
腐る	くさる	kusaru
沈む	しずむ	shizumu
押さえ	おさえ	osae
発掘	はっくつ	hakkutsu
乗り越える	のりこえる	norikoeru
眠り	ねむり|ねぶり	nemuri|neburi
兼ねる	かねる	kaneru
鋭い	するどい|すすどい|とい	surudoi|susudoi|toi
恐らく	おそらく	osoraku
敷金	しききん	shikikinn
脱出	だっしゅつ	dasshutsu
離す	はなす	hanasu
関与	かんよ	kannyo
市販	しはん	shihann
下旬	げじゅん	gejunn
開拓	かいたく	kaitaku
慢性	まんせい	mannsei
耐震	たいしん	taishinn
奴ら	やつら	yatsura
浮く	うく	uku
中途半端	ちゅうとはんぱ	tyuutohannpa
微笑む	ほほえむ|ほおえむ	hohoemu|hooemu
到達	とうたつ	toutatsu
濃厚	のうこう	noukou
一環	いっかん	ikkann
浸透	しんとう	shinntou
送迎	そうげい	sougei
言及	げんきゅう	gennkyuu
奥様	おくさま	okusama
爆弾	ばくだん	bakudann
繰り広げる	くりひろげる	kurihirogeru
含み	ふくみ|ぶくみ|ぐみ	fukumi|bukumi|gumi
叫び	さけび	sakebi
斜め	ななめ	naname
敷く	しく	shiku
倒産	とうさん	tousann
浮気	うわき	uwaki
腰痛	ようつう	youtsuu
闘争	とうそう	tousou
耐久	たいきゅう	taikyuu
図鑑	ずかん	zukann
蓄積	ちくせき	chikuseki
与党	よとう	yotou
目撃	もくげき	mokugeki
振替	ふりかえ	furikae
通称	つうしょう	tsuushou
劣化	れっか	rekka
疑惑	ぎわく	giwaku
持ち込む	もちこむ	mochikomu
乗り込む	のりこむ	norikomu
受け継ぐ	うけつぐ	uketsugu
斜面	しゃめん	shamenn
柔らか	やわらか	yawaraka
独占	どくせん	dokusenn
魚介	ぎょかい	gyokai
風俗	ふうぞく	fuuzoku
療養	りょうよう	ryouyou
投与	とうよ	touyo
名刺	めいし	meishi
着替え	きがえ|きかえ	kigae|kikae
見込み	みこみ	mikomi
感触	かんしょく	kannshoku
打撃	だげき	dageki
侵略	しんりゃく	shinnryaku
露出	ろしゅつ	roshutsu
狂う	くるう	kuruu
互いに	たがいに	tagaini
偉大	いだい	idai
逃す	にがす|のがす	nigasu|nogasu
駆ける	かける|がける	kakeru|gakeru
髪の毛	かみのけ	kaminoke
代替	だいたい|だいがえ	daitai|daigae
騒ぎ	さわぎ	sawagi
飛び込む	とびこむ	tobikomu
奴隷	どれい	dorei
格闘	かくとう	kakutou
お祈り	おいのり	oinori
祈願	きがん	kigann
溶け	とけ|どけ	toke|doke
柔道	じゅうどう	juudou
占領	せんりょう	sennryou
見逃し	みのがし	minogashi
威力	いりょく	iryoku
奇妙	きみょう	kimyou
奮闘	ふんとう	funntou
騒動	そうどう	soudou
粒子	りゅうし	ryuushi
捕まる	つかまる|づかまる	tsukamaru|dukamaru
選抜	せんばつ|よりぬけ	sennbatsu|yorinuke
刺す	さす	sasu
大抵	たいてい	taitei
見舞い	みまい	mimai
脱毛	だつもう	datsumou
原爆	げんばく	gennbaku
海鮮	かいせん	kaisenn
闘い	たたかい	tatakai
幾つ	いくつ	ikutsu
途端	とたん	totann
お陰	おかげ	okage
自称	じしょう	jishou
枯れる	かれる|がれる	kareru|gareru
和菓子	わがし	wagashi
震え	ふるえ	furue
遠征	えんせい	ennsei
紫外線	しがいせん	shigaisenn
精一杯	せいいっぱい	seiippai
装飾	そうしょく	soushoku
被災	ひさい	hisai
偉い	えらい	erai
惑星	わくせい	wakusei
印鑑	いんかん	innkann
落ち込む	おちこむ	ochikomu
絶妙	ぜつみょう	zetsumyou
外壁	がいへき|そとかべ	gaiheki|sotokabe
含有	がんゆう	gannyuu
劣る	おとる	otoru
悲惨	ひさん	hisann
敏感	びんかん	binnkann
付与	ふよ	fuyo
入れ替え	いれかえ	irekae
訴える	うったえる	uttaeru
後継	こうけい|あとつぎ	koukei|atotsugi
駆使	くし	kushi
頼み	たのみ|だのみ	tanomi|danomi
起訴	きそ	kiso
恵み	めぐみ	megumi
一般人	いっぱんじん	ippannjinn
壁紙	かべがみ	kabegami
刺し	さし|ざし	sashi|zashi
沈黙	ちんもく	chinnmoku
理屈	りくつ	rikutsu
玄米	げんまい|くろごめ	gennmai|kurogome
髪型	かみがた	kamigata
薬剤	やくざい	yakuzai
上旬	じょうじゅん	joujunn
乾く	かわく	kawaku
捕まえる	つかまえる|づかまえる|とらまえる	tsukamaeru|dukamaeru|toramaeru
舗装	ほそう	hosou
色彩	しきさい	shikisai
駆除	くじょ	kujo
足跡	あしあと|そくせき	ashiato|sokuseki
お迎え	おむかえ	omukae
終盤	しゅうばん	shuubann
増殖	ぞうしょく	zoushoku
甘味	あまみ|かんみ	amami|kannmi
専攻	せんこう	sennkou
煙草	たばこ	tabako
昼寝	ひるね	hirune
騒音	そうおん	souonn
傾ける	かたぶける|かたむける	katabukeru|katamukeru
甘え	あまえ|あめえ|うめえ	amae|amee|umee
闘う	たたかう|たたこう	tatakau|tatakou
彩る	いろどる	irodoru
申し込む	もうしこむ	moushikomu
取り込む	とりこむ	torikomu
継ぐ	つぐ	tsugu
振込む	ふりこむ	furikomu
突き	つき|とっき|つつき|づき|ずき	tsuki|tokki|tsutsuki|duki|zuki
抱きしめる	だきしめる	dakishimeru
寄与	きよ	kiyo
握り	にぎり	nigiri
到来	とうらい	tourai
引き継ぐ	ひきつぐ	hikitsugu
入り込む	いりこむ|はいりこむ	irikomu|hairikomu
調剤	ちょうざい	tyouzai
追い込む	おいこむ	oikomu
打ち込む	うちこむ|ぶちこむ	uchikomu|buchikomu
握手	あくしゅ	akushu
途上	とじょう	tojou
現況	げんきょう	gennkyou
洗剤	せんざい	sennzai
お疲れさま	おつかれさま	otsukaresama
駆けつける	かけつける	kaketsukeru
剣道	けんどう	kenndou
押し付ける	おしつける	oshitsukeru
勧告	かんこく	kannkoku
中盤	ちゅうばん	tyuubann
泊まり	とまり|どまり	tomari|domari
小遣い	こづかい	kodukai
お尋ね	おたずね	otazune
甘み	あまみ|うまみ	amami|umami
冷却	れいきゃく	reikyaku
振り回す	ふりまわす	furimawasu
盗る	とる|ぬすめる|どる	toru|nusumeru|doru
仕込み	しこみ|じこみ	shikomi|jikomi
民俗	みんぞく	minnzoku
突っ込み	つっこみ	tsukkomi
肩こり	かたこり	katakori
駆動	くどう	kudou
運搬	うんぱん	unnpann
強盗	ごうとう	goutou
右翼	うよく	uyoku
追及	ついきゅう	tsuikyuu
圧倒	あっとう	attou
後援	こうえん	kouenn
史跡	しせき	shiseki
最先端	さいせんたん	saisenntann
捕獲	ほかく	hokaku
遅れる	おくれる	okureru
彼等	かれら	karera
跡地	あとち	atochi
盗む	ぬすむ	nusumu
介入	かいにゅう	kainyuu
突く	つく|つつく|づく	tsuku|tsutsuku|duku
見込む	みこむ	mikomu
坊主	ぼうず	bouzu
音響	おんきょう	onnkyou
圧迫	あっぱく	appaku
序盤	じょばん	jobann
描ける	えがける|かける	egakeru|kakeru
浮上	ふじょう	fujou
替わる	かわる	kawaru
権威	けんい	kenni
飛躍	ひやく	hiyaku
抱える	かかえる	kakaeru
格闘技	かくとうぎ	kakutougi
反撃	はんげき	hanngeki
持ち込み	もちこみ	mochikomi
淡い	あわい	awai
巡回	じゅんかい	junnkai
御礼	おれい|おんれい	orei|onnrei
左翼	さよく	sayoku
咲かせる	さかせる	sakaseru
搬送	はんそう	hannsou
傾斜	けいしゃ	keisha
乾杯	かんぱい	kannpai
退屈	たいくつ	taikutsu
振り向く	ふりむく	furimuku
即日	そくじつ	sokujitsu
恐い	こわい	kowai
遅刻	ちこく	chikoku
介す	かいす	kaisu
相違	そうい	soui
離脱	りだつ	ridatsu
恋しい	こいしい	koishii
繁栄	はんえい	hannei
骨盤	こつばん	kotsubann
即ち	すなわち	sunawachi
溶接	ようせつ	yousetsu
襲撃	しゅうげき	shuugeki
皆無	かいむ	kaimu
思い込む	おもいこむ	omoikomu
射撃	しゃげき	shageki
微生物	びせいぶつ	biseibutsu
監修	かんしゅう	kannshuu
出迎え	でむかえ	demukae
組み込む	くみこむ	kumikomu
疲れる	つかれる|づかれる	tsukareru|dukareru
浸る	ひたる|びたる	hitaru|bitaru
突撃	とつげき	totsugeki
転倒	てんとう	tenntou
恐縮	きょうしゅく	kyoushuku
逃れ	のがれ|にげれ	nogare|nigere
暴露	ばくろ|ばれ	bakuro|bare
長距離	ちょうきょり	tyoukyori
事柄	ことがら	kotogara
隠れ家	かくれが	kakurega
税込み	ぜいこみ	zeikomi
追跡	ついせき	tsuiseki
荒い	あらい	arai
驚異	きょうい	kyoui
溶かす	とかす	tokasu
澄む	すむ|ずむ	sumu|zumu
養殖	ようしょく	youshoku
尽き	つき	tsuki
圏内	けんない	kennnai
堅い	かたい|がたい	katai|gatai
見渡す	みわたす	miwatasu
吸い込む	すいこむ	suikomu
大騒ぎ	おおさわぎ	oosawagi
刈る	かる|がる	karu|garu
仰る	おっしゃる|おおせる	ossharu|ooseru
速攻	そっこう	sokkou
人柄	ひとがら	hitogara
逃げ出す	にげだす	nigedasu
鮮明	せんめい	sennmei
中堅	ちゅうけん	tyuukenn
久し振り	ひさしぶり	hisashiburi
交響	こうきょう	koukyou
吹奏楽	すいそうがく	suisougaku
半端	はんぱ	hannpa
御飯	ごはん	gohann
遅延	ちえん	chienn
直撃	ちょくげき	tyokugeki
婚約	こんやく	konnyaku
引き込む	ひきこむ	hikikomu
噴火	ふんか	funnka
歌謡	かよう	kayou
連鎖	れんさ	rennsa
抱っこ	だっこ	dakko
豪雨	ごうう	gouu
愛称	あいしょう	aishou
返却	へんきゃく	hennkyaku
旨み	うまみ	umami
露天	ろてん	rotenn
盛況	せいきょう	seikyou
岩盤	がんばん	gannbann
煮込み	にこみ	nikomi
搬入	はんにゅう	hannnyuu
腕時計	うでどけい	udedokei
新婚	しんこん	shinnkonn
端子	たんし	tannshi
耐性	たいせい	taisei
苦悩	くのう	kunou
罰金	ばっきん	bakkinn
捕らえる	とらえる	toraeru
浸かる	つかる	tsukaru
倒せる	たおせる	taoseru
香具師	こうぐし|やし	kougushi|yashi
救援	きゅうえん	kyuuenn
被爆	ひばく	hibaku
大震災	だいしんさい	daishinnsai
盛り込む	もりこむ	morikomu
互い	たがい	tagai
授与	じゅよ	juyo
仰ぐ	あおぐ	aogu
怒鳴る	どなる	donaru
奥深い	おくふかい|おくぶかい	okufukai|okubukai
礼儀	れいぎ	reigi
煮物	にもの	nimono
お隣	おとなり	otonari
縁起	えんぎ	enngi
鉛筆	えんぴつ	ennpitsu
舞踊	ぶよう	buyou
絵柄	えがら	egara
交互	こうご	kougo
到底	とうてい	toutei
総称	そうしょう	soushou
盗難	とうなん	tounann
抜け出す	ぬけだす	nukedasu
中途	ちゅうと	tyuuto
彩り	いろどり	irodori
陰陽	いんよう|おんみょう|おんよう	innyou|onnmyou|onnyou
殺到	さっとう	sattou
震災	しんさい	shinnsai
スレ違う	すれちがう|すれちごう	surechigau|surechigou
豪快	ごうかい	goukai
振るう	ふるう	furuu
漫才	まんざい	mannzai
傍ら	かたわら	katawara
震度	しんど	shinndo
平凡	へいぼん	heibonn
歓声	かんせい	kannsei
吐き出す	はきだす|ほきだす	hakidasu|hokidasu
旨味	うまみ	umami
環状	かんじょう	kannjou
猛暑	もうしょ	mousho
贈答	ぞうとう	zoutou
思惑	おもわく|しわく	omowaku|shiwaku
民謡	みんよう	minnyou
逃亡	とうぼう	toubou
日替わり	ひがわり	higawari
弾圧	だんあつ	dannatsu
地雷	じらい	jirai
寝具	しんぐ	shinngu
途切れる	とぎれる	togireru
巡礼	じゅんれい	junnrei
過払い	かばらい	kabarai
声援	せいえん	seienn
撃破	げきは	gekiha
繁盛	はんじょう	hannjou
悩ます	なやます	nayamasu
近況	きんきょう	kinnkyou
仕込む	しこむ	shikomu
最高峰	さいこうほう	saikouhou
就寝	しゅうしん	shuushinn
絡める	からめる	karameru
承継	しょうけい	shoukei
爆撃	ばくげき	bakugeki
傾く	かたぶく|かたむく	katabuku|katamuku
侵攻	しんこう	shinnkou
三振	さんしん	sannshinn
唐突	とうとつ	toutotsu
屈指	くっし	kusshi
戸惑う	とまどう	tomadou
浮かび上がる	うかびあがる	ukabiagaru
反響	はんきょう	hannkyou
不振	ふしん	fushinn
手抜き	てぬき	tenuki
金髪	きんぱつ	kinnpatsu
電撃	でんげき	denngeki
振り込み	ふりこみ	furikomi
踏み込む	ふみこむ	fumikomu
嘆く	なげく	nageku
思い込み	おもいこみ	omoikomi
差し込む	さしこむ	sashikomu
自爆	じばく	jibaku
抗体	こうたい	koutai
最優秀	さいゆうしゅう	saiyuushuu
紫色	むらさきいろ	murasakiiro
誉める	ほめる	homeru
多忙	たぼう	tabou
思い浮かべる	おもいうかべる	omoiukaberu
弾力	だんりょく	dannryoku
踏み出す	ふみだす	fumidasu
鈍い	にぶい|のろい|にびい	nibui|noroi|nibii
鮮度	せんど	senndo
寝室	しんしつ	shinnshitsu
悪影響	あくえいきょう	akueikyou
追い詰める	おいつめる	oitsumeru
幾ら	いくら	ikura
即座	そくざ	sokuza
出撃	しゅつげき	shutsugeki
援護	えんご	enngo
お忙しい	おいそがしい	oisogashii
見抜く	みぬく	minuku
呼称	こしょう	koshou
寄贈	きぞう	kizou
書込み	かきこみ	kakikomi
遠慮ない	えんりょない	ennryonai
包み込む	つつみこむ|くるみこむ	tsutsumikomu|kurumikomu
逃走	とうそう	tousou
踏切	ふみきり|ふみき	fumikiri|fumiki
称号	しょうごう	shougou
獣医	じゅうい	juui
瞬時	しゅんじ	shunnji
捕る	とる|どる	toru|doru
城跡	じょうせき|しろあと	jouseki|shiroato
規範	きはん	kihann
却下	きゃっか	kyakka
無縁	むえん	muenn
薄れる	うすれる	usureru
すれ違う	すれちがう|すれちごう	surechigau|surechigou
隣る	となる	tonaru
尽力	じんりょく	jinnryoku
読み込み	よみこみ	yomikomi
腐敗	ふはい	fuhai
焼却	しょうきゃく	shoukyaku
製剤	せいざい	seizai
要項	ようこう	youkou
香ばしい	こうばしい	koubashii
条項	じょうこう	joukou
必需	ひつじゅ	hitsuju
起床	きしょう	kishou
殿下	でんか	dennka
閉じ込める	とじこめる	tojikomeru
遣い	つかい|づかい	tsukai|dukai
遣る	やる	yaru
薄暗い	うすぐらい|うすくらい	usugurai|usukurai
猛烈	もうれつ	mouretsu
吹っ飛ぶ	ふっとぶ	futtobu
狂気	きょうき	kyouki
御覧	ごらん	gorann
吐き気	はきけ	hakike
陣営	じんえい	jinnei
仮称	かしょう	kashou
浮き	うき|うわき	uki|uwaki
召す	めす	mesu
贈与	ぞうよ	zouyo
驚かす	おどろかす	odorokasu
為す	なす	nasu
壁面	へきめん	hekimenn
面倒くさい	めんどうくさい	menndoukusai
量販	りょうはん	ryouhann
噴出	ふんしゅつ	funnshutsu
煮込む	にこむ	nikomu
逃がす	にがす|のがす	nigasu|nogasu
点滴	てんてき	tennteki
介助	かいじょ	kaijo
執着	しゅうじゃく|しゅうちゃく	shuujaku|shuutyaku
透ける	すける	sukeru
耐える	たえる	taeru
攻防	こうぼう	koubou
要旨	ようし	youshi
自販機	じはんき	jihannki
広範囲	こうはんい	kouhanni
改称	かいしょう	kaishou
強豪	きょうごう	kyougou
跳ぶ	とぶ	tobu
恋する	こいする	koisuru
静寂	しじま|せいじゃく	shijima|seijaku
怖がる	こわがる	kowagaru
見舞う	みまう|みもう	mimau|mimou
吹き飛ばす	ふきとばす	fukitobasu
泊り	とまり|どまり	tomari|domari
線香	せんこう	sennkou
脱線	だっせん	dassenn
攻める	せめる	semeru
貯蓄	ちょちく	tyochiku
余儀ない	よぎない	yoginai
詰め込む	つめこむ	tsumekomu
寝台	しんだい|ねだい	shinndai|nedai
百姓	ひゃくしょう|びゃくしょう|ひゃくせい	hyakushou|byakushou|hyakusei
刺さる	ささる	sasaru
即時	そくじ	sokuji
眠気	ねむけ	nemuke
占い師	うらないし	uranaishi
見逃す	みのがす	minogasu
因縁	いんねん	innnenn
濃縮	のうしゅく	noushuku
空襲	くうしゅう	kuushuu
反抗	はんこう	hannkou
殿堂	でんどう	denndou
彼岸	ひがん	higann
新郎	しんろう	shinnrou
尋常	じんじょう	jinnjou
押し寄せる	おしよせる	oshiyoseru
憶える	おぼえる	oboeru
依然として	いぜんとして	izenntoshite
凶悪	きょうあく	kyouaku
前払い	まえばらい	maebarai
跳ね	はね|ばね	hane|bane
